# 251216_14:00:15.855673
t	CH1	CH2
0.000000e+00	-1.544518e-04	-3.410024e+00
1.000000e-08	-2.609267e-03	-3.400628e+00
2.000000e-08	-1.507648e-03	-3.432180e+00
3.000000e-08	-1.855635e-03	-3.464759e+00
4.000000e-08	-8.954150e-04	-3.474735e+00
5.000000e-08	-1.889566e-03	-3.526367e+00
6.000000e-08	-2.087684e-03	-3.528891e+00
7.000000e-08	-2.189246e-03	-3.558496e+00
8.000000e-08	-6.117700e-04	-3.589447e+00
9.000000e-08	-1.267828e-03	-3.589976e+00
1.000000e-07	-1.646402e-03	-3.600575e+00
1.100000e-07	-1.567946e-03	-3.601104e+00
1.200000e-07	-1.499421e-03	-3.652578e+00
1.300000e-07	-1.081982e-03	-3.623259e+00
1.400000e-07	-1.498377e-03	-3.665438e+00
1.500000e-07	-1.640469e-03	-3.705492e+00
1.600000e-07	-1.122698e-03	-3.789200e+00
1.700000e-07	-1.173690e-03	-3.778070e+00
1.800000e-07	-2.556643e-03	-3.812708e+00
1.900000e-07	-2.050956e-03	-3.872759e+00
2.000000e-07	-1.002960e-03	-3.854887e+00
2.100000e-07	-8.061361e-04	-3.935818e+00
2.200000e-07	-1.622619e-03	-3.968996e+00
2.300000e-07	-1.814215e-03	-3.978971e+00
2.400000e-07	-1.456220e-03	-3.989500e+00
2.500000e-07	-6.916524e-04	-3.980049e+00
2.600000e-07	-2.206139e-03	-4.031576e+00
2.700000e-07	-2.112422e-03	-4.030603e+00
2.800000e-07	-1.601738e-03	-4.052130e+00
2.900000e-07	-1.181442e-03	-4.080608e+00
3.000000e-07	-1.178222e-03	-4.044732e+00
3.100000e-07	-2.450389e-03	-4.093779e+00
3.200000e-07	-1.997923e-03	-4.075816e+00
3.300000e-07	-1.476612e-03	-4.136322e+00
3.400000e-07	-1.001894e-03	-4.107895e+00
3.500000e-07	-2.239506e-03	-4.157870e+00
3.600000e-07	-1.722388e-03	-4.137950e+00
3.700000e-07	-1.778926e-03	-4.208500e+00
3.800000e-07	-1.619087e-03	-4.220978e+00
3.900000e-07	-1.369251e-03	-4.221077e+00
4.000000e-07	-2.654476e-03	-4.210703e+00
4.100000e-07	-1.269456e-03	-4.233233e+00
4.200000e-07	-2.030504e-03	-4.272232e+00
4.300000e-07	-1.419404e-03	-4.273741e+00
4.400000e-07	-2.484206e-03	-4.304741e+00
4.500000e-07	-1.189666e-03	-4.325363e+00
4.600000e-07	-1.848699e-03	-4.315742e+00
4.700000e-07	-1.455204e-03	-4.327416e+00
4.800000e-07	-2.384582e-03	-4.336369e+00
4.900000e-07	-1.829256e-03	-4.358421e+00
5.000000e-07	-1.803910e-03	-4.358419e+00
5.100000e-07	-9.634285e-04	-4.379474e+00
5.200000e-07	-2.067313e-03	-4.369999e+00
5.300000e-07	-6.168549e-04	-4.399526e+00
5.400000e-07	-2.355987e-03	-4.399975e+00
5.500000e-07	-2.192939e-03	-4.400054e+00
5.600000e-07	-9.865680e-04	-4.400503e+00
5.700000e-07	-2.740989e-03	-4.410076e+00
5.800000e-07	-7.803553e-04	-4.412628e+00
5.900000e-07	-2.735832e-03	-4.411604e+00
6.000000e-07	-2.630531e-04	-4.422030e+00
6.100000e-07	-1.665677e-03	-4.421080e+00
6.200000e-07	-1.712236e-03	-4.411077e+00
6.300000e-07	-9.074420e-04	-4.432154e+00
6.400000e-07	-4.350944e-03	-4.432156e+00
6.500000e-07	-4.895227e-05	-4.463757e+00
6.600000e-07	-2.539962e-03	-4.485158e+00
6.700000e-07	6.899696e-04	-4.474659e+00
6.800000e-07	-3.291285e-03	-4.443237e+00
6.900000e-07	-5.666015e-04	-4.513362e+00
7.000000e-07	-3.278015e-03	-4.473886e+00
7.100000e-07	-8.755214e-04	-4.474862e+00
7.200000e-07	-4.110566e-03	-4.504762e+00
7.300000e-07	4.620818e-04	-4.535892e+00
7.400000e-07	-2.106445e-03	-4.546410e+00
7.500000e-07	4.110838e-04	-4.517724e+00
7.600000e-07	-2.586922e-03	-4.507465e+00
7.700000e-07	-7.923145e-04	-4.486242e+00
7.800000e-07	-3.714522e-03	-4.530367e+00
7.900000e-07	-1.969289e-03	-4.495417e+00
8.000000e-07	-3.317207e-03	-4.526418e+00
8.100000e-07	1.312170e-04	-4.508391e+00
8.200000e-07	-1.274454e-03	-4.588996e+00
8.300000e-07	-3.917631e-04	-4.527495e+00
8.400000e-07	-2.806159e-03	-4.537370e+00
8.500000e-07	-2.101273e-03	-4.518393e+00
8.600000e-07	-1.889947e-03	-4.538992e+00
8.700000e-07	-1.814920e-03	-4.528396e+00
8.800000e-07	-9.874286e-04	-4.539871e+00
8.900000e-07	-1.320033e-03	-4.567414e+00
9.000000e-07	-1.630767e-03	-4.528894e+00
9.100000e-07	-2.055178e-03	-4.578437e+00
9.200000e-07	-1.565598e-03	-4.538365e+00
9.300000e-07	-3.590953e-03	-4.488396e+00
9.400000e-07	-7.479481e-04	-4.536420e+00
9.500000e-07	-3.839148e-03	-4.566463e+00
9.600000e-07	8.097858e-04	-4.549872e+00
9.700000e-07	-2.785256e-03	-4.546791e+00
9.800000e-07	6.937257e-04	-4.537494e+00
9.900000e-07	-5.329915e-03	-4.517918e+00
1.000000e-06	-3.330448e-04	-4.527747e+00
1.010000e-06	-3.270761e-03	-4.545917e+00
1.020000e-06	1.550244e-04	-4.516291e+00
1.030000e-06	-1.329385e-03	-4.508211e+00
1.040000e-06	-2.628688e-04	-4.465187e+00
1.050000e-06	-1.244730e-03	-4.495262e+00
1.060000e-06	-2.094707e-03	-4.465714e+00
1.070000e-06	-2.344641e-03	-4.484688e+00
1.080000e-06	-2.864912e-03	-4.474212e+00
1.090000e-06	-1.979247e-03	-4.472537e+00
1.100000e-06	-2.684300e-03	-4.453159e+00
1.110000e-06	-1.064478e-03	-4.453129e+00
1.120000e-06	-1.579863e-03	-4.432133e+00
1.130000e-06	6.367602e-06	-4.431078e+00
1.140000e-06	-1.665856e-03	-4.431583e+00
1.150000e-06	-1.365247e-03	-4.410555e+00
1.160000e-06	-3.813946e-03	-4.400530e+00
1.170000e-06	-1.219493e-03	-4.400050e+00
1.180000e-06	-3.498809e-03	-4.390476e+00
1.190000e-06	3.144178e-04	-4.431475e+00
1.200000e-06	-1.921606e-03	-4.401025e+00
1.210000e-06	-1.150235e-03	-4.390001e+00
1.220000e-06	-4.090759e-03	-4.399474e+00
1.230000e-06	-9.996738e-04	-4.389448e+00
1.240000e-06	-2.628459e-03	-4.378871e+00
1.250000e-06	-5.047850e-04	-4.348446e+00
1.260000e-06	-3.350341e-03	-4.367925e+00
1.270000e-06	-1.415751e-03	-4.378870e+00
1.280000e-06	-2.179617e-03	-4.328896e+00
1.290000e-06	-6.297856e-04	-4.287218e+00
1.300000e-06	-2.956036e-03	-4.317242e+00
1.310000e-06	-1.963703e-03	-4.283311e+00
1.320000e-06	-1.914784e-03	-4.254687e+00
1.330000e-06	-1.589081e-03	-4.262587e+00
1.340000e-06	-2.425809e-03	-4.243083e+00
1.350000e-06	-2.002513e-03	-4.231083e+00
1.360000e-06	-1.951973e-03	-4.222054e+00
1.370000e-06	-2.209773e-03	-4.180051e+00
1.380000e-06	-2.020412e-03	-4.189500e+00
1.390000e-06	-2.049565e-03	-4.169920e+00
1.400000e-06	-1.226879e-03	-4.137450e+00
1.410000e-06	-2.131567e-03	-4.129345e+00
1.420000e-06	-2.354479e-03	-4.157268e+00
1.430000e-06	-2.809452e-03	-4.076241e+00
1.440000e-06	-9.311786e-04	-4.034232e+00
1.450000e-06	-2.053175e-03	-4.053207e+00
1.460000e-06	-1.531203e-03	-4.073059e+00
1.470000e-06	-2.490809e-03	-4.031583e+00
1.480000e-06	-1.945288e-03	-4.020076e+00
1.490000e-06	-1.990757e-03	-4.009950e+00
1.500000e-06	-2.167056e-03	-4.000477e+00
1.510000e-06	-2.820814e-03	-3.979025e+00
1.520000e-06	-2.156262e-03	-3.979900e+00
1.530000e-06	-2.309296e-03	-3.957422e+00
1.540000e-06	-1.385164e-03	-3.938416e+00
1.550000e-06	-2.881449e-03	-3.927891e+00
1.560000e-06	-1.916994e-03	-3.896266e+00
1.570000e-06	-2.444501e-03	-3.872681e+00
1.580000e-06	-2.215048e-03	-3.773504e+00
1.590000e-06	-1.755754e-03	-3.781899e+00
1.600000e-06	-2.198763e-03	-3.687371e+00
1.610000e-06	-3.195051e-03	-3.694317e+00
1.620000e-06	-2.845030e-03	-3.663731e+00
1.630000e-06	-1.765610e-03	-3.642158e+00
1.640000e-06	-2.226788e-03	-3.652082e+00
1.650000e-06	-2.620219e-03	-3.600001e+00
1.660000e-06	-2.635962e-03	-3.639501e+00
1.670000e-06	-3.081286e-03	-3.589998e+00
1.680000e-06	-1.721822e-03	-3.549919e+00
1.690000e-06	-2.016560e-03	-3.538417e+00
1.700000e-06	-2.334731e-03	-3.517294e+00
1.710000e-06	-2.204939e-03	-3.475262e+00
1.720000e-06	-2.107219e-03	-3.463759e+00
1.730000e-06	-2.425631e-03	-3.433607e+00
1.740000e-06	-2.622295e-03	-3.439603e+00
1.750000e-06	-2.186563e-03	-3.420454e+00
1.760000e-06	-2.306766e-03	-3.378426e+00
1.770000e-06	-2.731315e-03	-3.347921e+00
1.780000e-06	-2.551820e-03	-3.316315e+00
1.790000e-06	-2.400324e-03	-3.276787e+00
1.800000e-06	-2.381910e-03	-3.234659e+00
1.810000e-06	-2.579956e-03	-3.213080e+00
1.820000e-06	-2.792056e-03	-3.220527e+00
1.830000e-06	-1.990291e-03	-3.200423e+00
1.840000e-06	-2.202566e-03	-3.178996e+00
1.850000e-06	-2.923151e-03	-3.128947e+00
1.860000e-06	-2.957540e-03	-3.138393e+00
1.870000e-06	-2.876582e-03	-3.087237e+00
1.880000e-06	-3.045587e-03	-3.033558e+00
1.890000e-06	-2.890961e-03	-2.981501e+00
1.900000e-06	-2.982453e-03	-2.927290e+00
1.910000e-06	-3.037427e-03	-2.924267e+00
1.920000e-06	-2.721139e-03	-2.894284e+00
1.930000e-06	-2.806329e-03	-2.832655e+00
1.940000e-06	-2.807549e-03	-2.801526e+00
1.950000e-06	-2.893819e-03	-2.789477e+00
1.960000e-06	-2.708340e-03	-2.779473e+00
1.970000e-06	-2.933257e-03	-2.748496e+00
1.980000e-06	-2.751800e-03	-2.746919e+00
1.990000e-06	-3.105609e-03	-2.694735e+00
