# 251216_16:36:22.718664
t	CH1	CH2
0.000000e+00	-1.632137e-04	-3.504261e+00
1.000000e-08	-1.271664e-03	-3.457216e+00
2.000000e-08	-3.701249e-03	-3.526345e+00
3.000000e-08	2.132237e-04	-3.557872e+00
4.000000e-08	-1.677912e-03	-3.589923e+00
5.000000e-08	-3.299431e-03	-3.579475e+00
6.000000e-08	-3.548329e-04	-3.560451e+00
7.000000e-08	-8.150047e-04	-3.620526e+00
8.000000e-08	-2.871415e-03	-3.602128e+00
9.000000e-08	-3.114833e-03	-3.643533e+00
1.000000e-07	2.107664e-04	-3.665310e+00
1.100000e-07	-3.432628e-03	-3.707838e+00
1.200000e-07	-1.414815e-03	-3.730026e+00
1.300000e-07	-2.586246e-03	-3.809503e+00
1.400000e-07	-5.024108e-04	-3.844635e+00
1.500000e-07	-4.185233e-03	-3.845262e+00
1.600000e-07	-1.776484e-04	-3.925892e+00
1.700000e-07	-2.453605e-03	-3.926292e+00
1.800000e-07	-3.244567e-04	-3.977921e+00
1.900000e-07	-3.080145e-03	-3.968446e+00
2.000000e-07	-1.144855e-04	-3.979997e+00
2.100000e-07	-2.934114e-03	-4.000472e+00
2.200000e-07	-7.090998e-04	-4.010003e+00
2.300000e-07	-2.846797e-03	-4.020604e+00
2.400000e-07	-1.107972e-03	-4.064156e+00
2.500000e-07	-3.259154e-03	-4.042179e+00
2.600000e-07	-3.576928e-04	-4.065236e+00
2.700000e-07	-1.988308e-03	-4.074189e+00
2.800000e-07	-1.597591e-03	-4.095141e+00
2.900000e-07	-1.952517e-03	-4.086418e+00
3.000000e-07	-9.857267e-04	-4.156795e+00
3.100000e-07	-1.392039e-03	-4.168445e+00
3.200000e-07	-1.429148e-03	-4.178500e+00
3.300000e-07	-8.510269e-04	-4.189953e+00
3.400000e-07	-1.645064e-03	-4.200975e+00
3.500000e-07	-1.128023e-03	-4.212059e+00
3.600000e-07	-1.901768e-03	-4.222158e+00
3.700000e-07	-1.004700e-05	-4.234636e+00
3.800000e-07	-1.845368e-03	-4.245683e+00
3.900000e-07	-4.077628e-04	-4.325237e+00
4.000000e-07	-1.533370e-03	-4.316763e+00
4.100000e-07	-3.470139e-04	-4.325294e+00
4.200000e-07	-1.094995e-03	-4.296891e+00
4.300000e-07	-1.107885e-04	-4.359370e+00
4.400000e-07	-1.589071e-03	-4.338421e+00
4.500000e-07	-3.456674e-04	-4.378947e+00
4.600000e-07	-1.517485e-03	-4.368871e+00
4.700000e-07	-1.709090e-04	-4.399973e+00
4.800000e-07	-1.125022e-03	-4.369528e+00
4.900000e-07	-1.234522e-03	-4.371499e+00
5.000000e-07	-6.880821e-04	-4.400550e+00
5.100000e-07	-9.200849e-04	-4.411024e+00
5.200000e-07	-8.754263e-04	-4.411105e+00
5.300000e-07	-5.815829e-04	-4.431129e+00
5.400000e-07	-1.317367e-04	-4.432054e+00
5.500000e-07	-2.801709e-04	-4.452554e+00
5.600000e-07	-9.613494e-04	-4.432135e+00
5.700000e-07	-4.362858e-04	-4.453580e+00
5.800000e-07	-1.630730e-03	-4.443681e+00
5.900000e-07	-1.009454e-04	-4.445163e+00
6.000000e-07	-4.557709e-04	-4.467243e+00
6.100000e-07	6.491408e-05	-4.485284e+00
6.200000e-07	5.633102e-05	-4.515813e+00
6.300000e-07	7.843778e-04	-4.476671e+00
6.400000e-07	-5.339651e-04	-4.516817e+00
6.500000e-07	-1.810819e-04	-4.496295e+00
6.600000e-07	-8.823918e-04	-4.539416e+00
6.700000e-07	-7.020771e-04	-4.518372e+00
6.800000e-07	-1.082675e-04	-4.546321e+00
6.900000e-07	4.634779e-04	-4.531973e+00
7.000000e-07	-1.670014e-04	-4.539072e+00
7.100000e-07	3.847298e-04	-4.538846e+00
7.200000e-07	6.441751e-04	-4.520874e+00
7.300000e-07	-1.803162e-04	-4.600047e+00
7.400000e-07	-8.262415e-04	-4.568979e+00
7.500000e-07	-3.885931e-04	-4.530972e+00
7.600000e-07	1.677017e-04	-4.590679e+00
7.700000e-07	6.308847e-05	-4.580924e+00
7.800000e-07	6.432377e-04	-4.640498e+00
7.900000e-07	4.760977e-04	-4.611049e+00
8.000000e-07	1.332429e-03	-4.631577e+00
8.100000e-07	8.813403e-04	-4.580980e+00
8.200000e-07	1.048556e-03	-4.630501e+00
8.300000e-07	5.682910e-04	-4.599506e+00
8.400000e-07	1.004845e-03	-4.611078e+00
8.500000e-07	8.607458e-04	-4.570022e+00
8.600000e-07	8.053574e-04	-4.592004e+00
8.700000e-07	1.344349e-04	-4.641978e+00
8.800000e-07	1.857976e-03	-4.599155e+00
8.900000e-07	1.749271e-03	-4.591001e+00
9.000000e-07	1.038694e-03	-4.601574e+00
9.100000e-07	1.479975e-03	-4.649474e+00
9.200000e-07	1.609976e-03	-4.600080e+00
9.300000e-07	1.730512e-03	-4.579475e+00
9.400000e-07	1.916777e-03	-4.561000e+00
9.500000e-07	1.613052e-03	-4.560027e+00
9.600000e-07	2.010988e-03	-4.621051e+00
9.700000e-07	2.267025e-03	-4.550524e+00
9.800000e-07	2.077564e-03	-4.588972e+00
9.900000e-07	1.893525e-03	-4.559447e+00
1.000000e-06	2.694455e-03	-4.547900e+00
1.010000e-06	2.023291e-03	-4.558401e+00
1.020000e-06	1.923243e-03	-4.538393e+00
1.030000e-06	2.122626e-03	-4.567372e+00
1.040000e-06	1.799477e-03	-4.547320e+00
1.050000e-06	2.317750e-03	-4.526443e+00
1.060000e-06	1.899487e-03	-4.525792e+00
1.070000e-06	1.727074e-03	-4.505389e+00
1.080000e-06	2.034540e-03	-4.514816e+00
1.090000e-06	2.120046e-03	-4.524242e+00
1.100000e-06	1.767814e-03	-4.465259e+00
1.110000e-06	2.677301e-03	-4.463208e+00
1.120000e-06	2.490100e-03	-4.482708e+00
1.130000e-06	2.203050e-03	-4.444184e+00
