# Temperatura_=_24.7
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135092.96963939705

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.511110e-06	-1.324758e-09	-3.838529e+01	-8.317573e+01
1.000000e-08	-5.511198e-06	-1.321192e-09	-3.838591e+01	-8.316564e+01
2.000000e-08	-5.511049e-06	-1.317140e-09	-3.838487e+01	-8.315374e+01
3.000000e-08	-5.510502e-06	-1.315305e-09	-3.838106e+01	-8.313980e+01
4.000000e-08	-5.509485e-06	-1.314412e-09	-3.837398e+01	-8.312359e+01
5.000000e-08	-5.507978e-06	-1.310429e-09	-3.836348e+01	-8.310492e+01
6.000000e-08	-5.505797e-06	-1.294336e-09	-3.834829e+01	-8.308361e+01
7.000000e-08	-5.502927e-06	-1.279607e-09	-3.832830e+01	-8.305948e+01
8.000000e-08	-5.499593e-06	-1.351324e-09	-3.830508e+01	-8.303239e+01
9.000000e-08	-5.495748e-06	-1.442602e-09	-3.827830e+01	-8.300224e+01
1.000000e-07	-5.491415e-06	-1.351912e-09	-3.824812e+01	-8.296891e+01
1.100000e-07	-5.486902e-06	-1.198363e-09	-3.821669e+01	-8.293236e+01
1.200000e-07	-5.482369e-06	-1.249918e-09	-3.818511e+01	-8.289252e+01
1.300000e-07	-5.477493e-06	-1.417115e-09	-3.815115e+01	-8.284940e+01
1.400000e-07	-5.472106e-06	-1.384064e-09	-3.811363e+01	-8.280298e+01
1.500000e-07	-5.466332e-06	-1.196234e-09	-3.807342e+01	-8.275332e+01
1.600000e-07	-5.460270e-06	-1.236777e-09	-3.803119e+01	-8.270045e+01
1.700000e-07	-5.453803e-06	-1.391116e-09	-3.798615e+01	-8.264447e+01
1.800000e-07	-5.446790e-06	-1.385964e-09	-3.793730e+01	-8.258548e+01
1.900000e-07	-5.439475e-06	-1.229504e-09	-3.788635e+01	-8.252360e+01
2.000000e-07	-5.431918e-06	-1.247086e-09	-3.783372e+01	-8.245896e+01
2.100000e-07	-5.424082e-06	-1.345978e-09	-3.777914e+01	-8.239172e+01
2.200000e-07	-5.416025e-06	-1.350536e-09	-3.772302e+01	-8.232204e+01
2.300000e-07	-5.407692e-06	-1.253618e-09	-3.766498e+01	-8.225011e+01
2.400000e-07	-5.398979e-06	-1.244133e-09	-3.760430e+01	-8.217611e+01
2.500000e-07	-5.389457e-06	-1.300536e-09	-3.753797e+01	-8.210023e+01
2.600000e-07	-5.379097e-06	-1.313755e-09	-3.746582e+01	-8.202267e+01
2.700000e-07	-5.368302e-06	-1.265757e-09	-3.739063e+01	-8.194361e+01
2.800000e-07	-5.357018e-06	-1.247915e-09	-3.731204e+01	-8.186324e+01
2.900000e-07	-5.345286e-06	-1.290964e-09	-3.723032e+01	-8.178176e+01
3.000000e-07	-5.333292e-06	-1.300144e-09	-3.714678e+01	-8.169933e+01
3.100000e-07	-5.320866e-06	-1.267033e-09	-3.706023e+01	-8.161611e+01
3.200000e-07	-5.307813e-06	-1.236462e-09	-3.696931e+01	-8.153226e+01
3.300000e-07	-5.294422e-06	-1.299709e-09	-3.687605e+01	-8.144792e+01
3.400000e-07	-5.280810e-06	-1.304732e-09	-3.678124e+01	-8.136319e+01
3.500000e-07	-5.266760e-06	-1.244355e-09	-3.668338e+01	-8.127819e+01
3.600000e-07	-5.252130e-06	-1.238531e-09	-3.658148e+01	-8.119298e+01
3.700000e-07	-5.237183e-06	-1.301989e-09	-3.647738e+01	-8.110764e+01
3.800000e-07	-5.221662e-06	-1.236910e-09	-3.636927e+01	-8.102218e+01
3.900000e-07	-5.205385e-06	-1.196906e-09	-3.625590e+01	-8.093662e+01
4.000000e-07	-5.188724e-06	-1.304046e-09	-3.613986e+01	-8.085097e+01
4.100000e-07	-5.171829e-06	-1.318071e-09	-3.602218e+01	-8.076517e+01
4.200000e-07	-5.154625e-06	-1.175963e-09	-3.590235e+01	-8.067919e+01
4.300000e-07	-5.137052e-06	-1.237897e-09	-3.577996e+01	-8.059293e+01
4.400000e-07	-5.119296e-06	-1.357706e-09	-3.565628e+01	-8.050632e+01
4.500000e-07	-5.101074e-06	-1.231887e-09	-3.552937e+01	-8.041924e+01
4.600000e-07	-5.082344e-06	-1.145482e-09	-3.539891e+01	-8.033155e+01
4.700000e-07	-5.063308e-06	-1.308984e-09	-3.526632e+01	-8.024311e+01
4.800000e-07	-5.043950e-06	-1.296531e-09	-3.513149e+01	-8.015377e+01
4.900000e-07	-5.024263e-06	-1.154568e-09	-3.499437e+01	-8.006335e+01
5.000000e-07	-5.004385e-06	-1.241875e-09	-3.485592e+01	-7.997168e+01
5.100000e-07	-4.984290e-06	-1.315739e-09	-3.471595e+01	-7.987857e+01
5.200000e-07	-4.963814e-06	-1.169625e-09	-3.457334e+01	-7.978385e+01
5.300000e-07	-4.943066e-06	-1.192008e-09	-3.442883e+01	-7.968732e+01
5.400000e-07	-4.922019e-06	-1.325360e-09	-3.428224e+01	-7.958882e+01
5.500000e-07	-4.900547e-06	-1.223339e-09	-3.413268e+01	-7.948815e+01
5.600000e-07	-4.878699e-06	-1.145154e-09	-3.398050e+01	-7.938515e+01
5.700000e-07	-4.856613e-06	-1.272152e-09	-3.382668e+01	-7.927966e+01
5.800000e-07	-4.834282e-06	-1.258624e-09	-3.367114e+01	-7.917154e+01
5.900000e-07	-4.811544e-06	-1.148212e-09	-3.351277e+01	-7.906066e+01
6.000000e-07	-4.788471e-06	-1.228216e-09	-3.335206e+01	-7.894690e+01
6.100000e-07	-4.765107e-06	-1.279197e-09	-3.318933e+01	-7.883017e+01
6.200000e-07	-4.741472e-06	-1.190162e-09	-3.302471e+01	-7.871040e+01
6.300000e-07	-4.717646e-06	-1.199692e-09	-3.285876e+01	-7.858753e+01
6.400000e-07	-4.693594e-06	-1.255624e-09	-3.269124e+01	-7.846154e+01
6.500000e-07	-4.669175e-06	-1.186235e-09	-3.252116e+01	-7.833242e+01
6.600000e-07	-4.644293e-06	-1.167794e-09	-3.234785e+01	-7.820018e+01
6.700000e-07	-4.618858e-06	-1.224217e-09	-3.217070e+01	-7.806486e+01
6.800000e-07	-4.592823e-06	-1.206081e-09	-3.198936e+01	-7.792653e+01
6.900000e-07	-4.566344e-06	-1.170909e-09	-3.180493e+01	-7.778527e+01
7.000000e-07	-4.539411e-06	-1.210163e-09	-3.161734e+01	-7.764119e+01
7.100000e-07	-4.512004e-06	-1.202553e-09	-3.142645e+01	-7.749440e+01
7.200000e-07	-4.484322e-06	-1.167311e-09	-3.123364e+01	-7.734506e+01
7.300000e-07	-4.456496e-06	-1.180087e-09	-3.103983e+01	-7.719331e+01
7.400000e-07	-4.428529e-06	-1.191592e-09	-3.084504e+01	-7.703934e+01
7.500000e-07	-4.400442e-06	-1.165967e-09	-3.064941e+01	-7.688331e+01
7.600000e-07	-4.372145e-06	-1.172298e-09	-3.045232e+01	-7.672541e+01
7.700000e-07	-4.343469e-06	-1.177638e-09	-3.025259e+01	-7.656585e+01
7.800000e-07	-4.314358e-06	-1.157203e-09	-3.004983e+01	-7.640481e+01
7.900000e-07	-4.284944e-06	-1.155187e-09	-2.984496e+01	-7.624249e+01
8.000000e-07	-4.255275e-06	-1.166512e-09	-2.963831e+01	-7.607907e+01
8.100000e-07	-4.225278e-06	-1.142744e-09	-2.942938e+01	-7.591474e+01
8.200000e-07	-4.195004e-06	-1.128822e-09	-2.921852e+01	-7.574967e+01
8.300000e-07	-4.164432e-06	-1.144156e-09	-2.900558e+01	-7.558400e+01
8.400000e-07	-4.133582e-06	-1.138824e-09	-2.879071e+01	-7.541789e+01
8.500000e-07	-4.102505e-06	-1.121109e-09	-2.857426e+01	-7.525144e+01
