# 251216_17:04:44.143923
t	CH1	CH2
0.000000e+00	-9.469577e-03	-3.488791e+00
1.000000e-08	5.120958e-03	-3.537841e+00
2.000000e-08	-5.593899e-03	-3.508971e+00
3.000000e-08	1.714899e-03	-3.599447e+00
4.000000e-08	-6.343550e-03	-3.569475e+00
5.000000e-08	4.200063e-03	-3.601024e+00
6.000000e-08	-6.463430e-03	-3.602153e+00
7.000000e-08	1.248479e-03	-3.601106e+00
8.000000e-08	-2.841584e-03	-3.632182e+00
9.000000e-08	1.263015e-03	-3.674734e+00
1.000000e-07	-5.357948e-03	-3.667016e+00
1.100000e-07	1.516685e-03	-3.728951e+00
1.200000e-07	-2.013202e-03	-3.761623e+00
1.300000e-07	-1.708922e-03	-3.811688e+00
1.400000e-07	-3.642322e-03	-3.864303e+00
1.500000e-07	-8.302396e-04	-3.936836e+00
1.600000e-07	-2.108240e-03	-3.876790e+00
1.700000e-07	-1.339427e-03	-3.987873e+00
1.800000e-07	9.620587e-04	-3.979444e+00
1.900000e-07	-2.301851e-03	-3.969999e+00
2.000000e-07	-9.627800e-04	-4.000524e+00
2.100000e-07	-2.726752e-03	-4.021078e+00
2.200000e-07	-9.625603e-05	-4.051103e+00
2.300000e-07	-3.554626e-03	-4.053107e+00
2.400000e-07	1.780818e-04	-4.053164e+00
2.500000e-07	-2.656448e-03	-4.083634e+00
2.600000e-07	8.413272e-04	-4.086284e+00
2.700000e-07	-3.058567e-03	-4.106789e+00
2.800000e-07	1.592509e-03	-4.096337e+00
2.900000e-07	-3.790449e-03	-4.130370e+00
3.000000e-07	-3.655065e-04	-4.169948e+00
3.100000e-07	-3.317054e-03	-4.170425e+00
3.200000e-07	1.628492e-03	-4.200999e+00
3.300000e-07	-2.595230e-03	-4.203600e+00
3.400000e-07	1.102764e-03	-4.264958e+00
3.500000e-07	-2.545446e-03	-4.264083e+00
3.600000e-07	3.886689e-04	-4.254158e+00
3.700000e-07	-3.049959e-03	-4.245213e+00
3.800000e-07	-2.803844e-04	-4.286336e+00
3.900000e-07	-1.845971e-03	-4.296742e+00
4.000000e-07	-8.665609e-05	-4.358342e+00
4.100000e-07	-9.089278e-04	-4.356845e+00
4.200000e-07	3.883926e-04	-4.338442e+00
4.300000e-07	-4.071799e-04	-4.359371e+00
4.400000e-07	-8.152485e-04	-4.348971e+00
4.500000e-07	-2.854471e-04	-4.388947e+00
4.600000e-07	-1.343730e-03	-4.400474e+00
4.700000e-07	-1.263686e-03	-4.389999e+00
4.800000e-07	-1.041147e-03	-4.399575e+00
4.900000e-07	2.011585e-05	-4.401526e+00
5.000000e-07	-9.565731e-04	-4.411503e+00
5.100000e-07	-1.742991e-04	-4.442052e+00
5.200000e-07	-8.621093e-04	-4.442128e+00
5.300000e-07	-6.750222e-04	-4.411103e+00
5.400000e-07	-2.013944e-03	-4.452185e+00
5.500000e-07	-4.892531e-04	-4.424708e+00
5.600000e-07	-1.710455e-03	-4.503205e+00
5.700000e-07	-7.308569e-04	-4.478229e+00
5.800000e-07	-1.070470e-03	-4.494664e+00
5.900000e-07	9.170522e-05	-4.486245e+00
6.000000e-07	-4.269071e-04	-4.506716e+00
6.100000e-07	1.236010e-03	-4.506936e+00
6.200000e-07	-1.903021e-03	-4.524817e+00
6.300000e-07	-1.339657e-04	-4.478341e+00
6.400000e-07	-2.432672e-03	-4.547448e+00
6.500000e-07	-8.935694e-04	-4.543973e+00
6.600000e-07	-1.317857e-03	-4.519471e+00
6.700000e-07	8.031812e-04	-4.548446e+00
6.800000e-07	3.415972e-05	-4.589423e+00
6.900000e-07	-1.329652e-04	-4.516997e+00
7.000000e-07	-2.107614e-04	-4.630471e+00
7.100000e-07	-6.137403e-04	-4.568476e+00
7.200000e-07	-1.100320e-03	-4.550950e+00
7.300000e-07	-1.610994e-03	-4.589426e+00
7.400000e-07	-6.713055e-04	-4.601524e+00
7.500000e-07	-7.383506e-04	-4.592551e+00
7.600000e-07	5.839965e-04	-4.630129e+00
7.700000e-07	-1.119067e-04	-4.570054e+00
7.800000e-07	-4.835773e-04	-4.620554e+00
7.900000e-07	-6.532582e-05	-4.581028e+00
8.000000e-07	-1.161753e-03	-4.651926e+00
8.100000e-07	-8.678766e-04	-4.600604e+00
8.200000e-07	-4.897070e-04	-4.621602e+00
8.300000e-07	-1.147385e-04	-4.632554e+00
8.400000e-07	1.152558e-03	-4.621550e+00
8.500000e-07	3.587472e-04	-4.611034e+00
8.600000e-07	6.568714e-05	-4.582105e+00
8.700000e-07	9.305291e-05	-4.592479e+00
8.800000e-07	-8.993353e-05	-4.620080e+00
8.900000e-07	-8.462133e-04	-4.622047e+00
9.000000e-07	-1.770892e-04	-4.571105e+00
9.100000e-07	-9.077733e-05	-4.572027e+00
9.200000e-07	4.840740e-04	-4.610504e+00
9.300000e-07	2.930148e-04	-4.609601e+00
9.400000e-07	3.950616e-04	-4.592474e+00
9.500000e-07	-1.845201e-05	-4.641501e+00
9.600000e-07	-1.611350e-04	-4.621949e+00
9.700000e-07	1.279004e-04	-4.578496e+00
9.800000e-07	4.029793e-04	-4.550475e+00
9.900000e-07	6.173763e-04	-4.598926e+00
1.000000e-06	6.281139e-04	-4.520522e+00
1.010000e-06	3.633715e-04	-4.578346e+00
1.020000e-06	1.385741e-04	-4.568920e+00
1.030000e-06	8.142635e-04	-4.588465e+00
1.040000e-06	2.093326e-04	-4.526318e+00
1.050000e-06	1.019422e-03	-4.527893e+00
1.060000e-06	-2.888410e-04	-4.527891e+00
1.070000e-06	5.320738e-04	-4.537843e+00
1.080000e-06	8.715806e-04	-4.535322e+00
1.090000e-06	9.034185e-04	-4.504214e+00
1.100000e-06	5.933887e-04	-4.514310e+00
1.110000e-06	1.235874e-03	-4.534261e+00
1.120000e-06	1.194921e-03	-4.472685e+00
1.130000e-06	4.654454e-04	-4.493184e+00
1.140000e-06	6.524362e-04	-4.455055e+00
1.150000e-06	7.088840e-04	-4.451557e+00
1.160000e-06	4.032587e-04	-4.452530e+00
1.170000e-06	7.487102e-04	-4.442105e+00
1.180000e-06	4.815314e-04	-4.400608e+00
1.190000e-06	8.744632e-04	-4.410525e+00
1.200000e-06	9.534009e-04	-4.430528e+00
1.210000e-06	5.196009e-04	-4.410050e+00
1.220000e-06	3.981581e-04	-4.390526e+00
1.230000e-06	3.046237e-04	-4.399948e+00
1.240000e-06	6.387848e-04	-4.370499e+00
1.250000e-06	5.699294e-04	-4.399449e+00
1.260000e-06	7.888546e-04	-4.388949e+00
1.270000e-06	9.795002e-04	-4.358947e+00
1.280000e-06	8.940758e-04	-4.358370e+00
