# Temperatura_=_-15.79
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135098.0543880619

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.535560e-06	-1.223355e-09	-3.836846e+01	-7.814819e+01
1.000000e-08	-5.535608e-06	-1.222437e-09	-3.836879e+01	-7.814851e+01
2.000000e-08	-5.535280e-06	-1.221606e-09	-3.836652e+01	-7.815085e+01
3.000000e-08	-5.534572e-06	-1.220032e-09	-3.836161e+01	-7.815507e+01
4.000000e-08	-5.533523e-06	-1.215231e-09	-3.835434e+01	-7.816094e+01
5.000000e-08	-5.531852e-06	-1.205530e-09	-3.834276e+01	-7.816827e+01
6.000000e-08	-5.529517e-06	-1.197790e-09	-3.832657e+01	-7.817679e+01
7.000000e-08	-5.526707e-06	-1.211535e-09	-3.830709e+01	-7.818625e+01
8.000000e-08	-5.523311e-06	-1.238804e-09	-3.828356e+01	-7.819637e+01
9.000000e-08	-5.519326e-06	-1.238815e-09	-3.825594e+01	-7.820685e+01
1.000000e-07	-5.515023e-06	-1.240526e-09	-3.822611e+01	-7.821740e+01
1.100000e-07	-5.510554e-06	-1.216393e-09	-3.819514e+01	-7.822770e+01
1.200000e-07	-5.505888e-06	-1.188086e-09	-3.816280e+01	-7.823744e+01
1.300000e-07	-5.500956e-06	-1.153863e-09	-3.812861e+01	-7.824633e+01
1.400000e-07	-5.495629e-06	-1.187467e-09	-3.809169e+01	-7.825406e+01
1.500000e-07	-5.489834e-06	-1.223453e-09	-3.805152e+01	-7.826035e+01
1.600000e-07	-5.483651e-06	-1.227931e-09	-3.800867e+01	-7.826490e+01
1.700000e-07	-5.477046e-06	-1.177433e-09	-3.796288e+01	-7.826747e+01
1.800000e-07	-5.470008e-06	-1.198942e-09	-3.791410e+01	-7.826781e+01
1.900000e-07	-5.462671e-06	-1.214788e-09	-3.786324e+01	-7.826570e+01
2.000000e-07	-5.455153e-06	-1.194631e-09	-3.781114e+01	-7.826096e+01
2.100000e-07	-5.447383e-06	-1.151466e-09	-3.775728e+01	-7.825340e+01
2.200000e-07	-5.439326e-06	-1.178022e-09	-3.770144e+01	-7.824291e+01
2.300000e-07	-5.430873e-06	-1.221343e-09	-3.764285e+01	-7.822936e+01
2.400000e-07	-5.421817e-06	-1.205875e-09	-3.758007e+01	-7.821268e+01
2.500000e-07	-5.412059e-06	-1.180880e-09	-3.751244e+01	-7.819283e+01
2.600000e-07	-5.401680e-06	-1.170419e-09	-3.744050e+01	-7.816980e+01
2.700000e-07	-5.390816e-06	-1.193583e-09	-3.736520e+01	-7.814361e+01
2.800000e-07	-5.379491e-06	-1.191880e-09	-3.728670e+01	-7.811432e+01
2.900000e-07	-5.367757e-06	-1.198547e-09	-3.720537e+01	-7.808201e+01
3.000000e-07	-5.355636e-06	-1.180952e-09	-3.712136e+01	-7.804679e+01
3.100000e-07	-5.343086e-06	-1.195855e-09	-3.703437e+01	-7.800881e+01
3.200000e-07	-5.330125e-06	-1.183629e-09	-3.694453e+01	-7.796824e+01
3.300000e-07	-5.316753e-06	-1.182832e-09	-3.685184e+01	-7.792527e+01
3.400000e-07	-5.302950e-06	-1.155810e-09	-3.675618e+01	-7.788012e+01
3.500000e-07	-5.288633e-06	-1.188512e-09	-3.665694e+01	-7.783301e+01
3.600000e-07	-5.273895e-06	-1.188102e-09	-3.655478e+01	-7.778420e+01
3.700000e-07	-5.258731e-06	-1.183796e-09	-3.644968e+01	-7.773394e+01
3.800000e-07	-5.242958e-06	-1.183278e-09	-3.634035e+01	-7.768249e+01
3.900000e-07	-5.226752e-06	-1.206346e-09	-3.622803e+01	-7.763014e+01
4.000000e-07	-5.210125e-06	-1.169444e-09	-3.611278e+01	-7.757714e+01
4.100000e-07	-5.193102e-06	-1.155536e-09	-3.599479e+01	-7.752378e+01
4.200000e-07	-5.175799e-06	-1.194107e-09	-3.587486e+01	-7.747032e+01
4.300000e-07	-5.158246e-06	-1.190850e-09	-3.575319e+01	-7.741701e+01
4.400000e-07	-5.140341e-06	-1.150496e-09	-3.562909e+01	-7.736409e+01
4.500000e-07	-5.121984e-06	-1.186115e-09	-3.550185e+01	-7.731179e+01
4.600000e-07	-5.103233e-06	-1.216046e-09	-3.537189e+01	-7.726032e+01
4.700000e-07	-5.084122e-06	-1.157341e-09	-3.523942e+01	-7.720986e+01
4.800000e-07	-5.064738e-06	-1.153982e-09	-3.510506e+01	-7.716058e+01
4.900000e-07	-5.045110e-06	-1.201486e-09	-3.496902e+01	-7.711260e+01
5.000000e-07	-5.025212e-06	-1.166711e-09	-3.483110e+01	-7.706605e+01
5.100000e-07	-5.005116e-06	-1.121586e-09	-3.469181e+01	-7.702101e+01
5.200000e-07	-4.984786e-06	-1.183433e-09	-3.455090e+01	-7.697751e+01
5.300000e-07	-4.964070e-06	-1.191798e-09	-3.440731e+01	-7.693559e+01
5.400000e-07	-4.942857e-06	-1.145161e-09	-3.426028e+01	-7.689523e+01
5.500000e-07	-4.921307e-06	-1.169935e-09	-3.411091e+01	-7.685640e+01
5.600000e-07	-4.899503e-06	-1.204084e-09	-3.395978e+01	-7.681902e+01
5.700000e-07	-4.877330e-06	-1.144870e-09	-3.380609e+01	-7.678299e+01
5.800000e-07	-4.854797e-06	-1.144030e-09	-3.364990e+01	-7.674819e+01
5.900000e-07	-4.831832e-06	-1.186577e-09	-3.349073e+01	-7.671447e+01
6.000000e-07	-4.808517e-06	-1.162795e-09	-3.332913e+01	-7.668165e+01
6.100000e-07	-4.785036e-06	-1.132016e-09	-3.316638e+01	-7.664953e+01
6.200000e-07	-4.761373e-06	-1.173813e-09	-3.300236e+01	-7.661790e+01
6.300000e-07	-4.737466e-06	-1.168893e-09	-3.283666e+01	-7.658653e+01
6.400000e-07	-4.713236e-06	-1.141181e-09	-3.266871e+01	-7.655517e+01
6.500000e-07	-4.688593e-06	-1.159472e-09	-3.249790e+01	-7.652356e+01
6.600000e-07	-4.663422e-06	-1.173303e-09	-3.232343e+01	-7.649145e+01
6.700000e-07	-4.637730e-06	-1.142236e-09	-3.214535e+01	-7.645856e+01
6.800000e-07	-4.611584e-06	-1.146385e-09	-3.196413e+01	-7.642464e+01
6.900000e-07	-4.584885e-06	-1.161719e-09	-3.177908e+01	-7.638942e+01
7.000000e-07	-4.557748e-06	-1.150213e-09	-3.159098e+01	-7.635263e+01
7.100000e-07	-4.530321e-06	-1.147521e-09	-3.140087e+01	-7.631404e+01
7.200000e-07	-4.502657e-06	-1.166940e-09	-3.120913e+01	-7.627341e+01
7.300000e-07	-4.474867e-06	-1.163535e-09	-3.101651e+01	-7.623052e+01
7.400000e-07	-4.446935e-06	-1.151105e-09	-3.082291e+01	-7.618515e+01
7.500000e-07	-4.418738e-06	-1.153163e-09	-3.062747e+01	-7.613713e+01
