# Temperatura_=_13.3
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135107.9199148899

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.533031e-06	-1.823266e-09	-3.836295e+01	-1.196890e+02
1.000000e-08	-5.533251e-06	-1.820893e-09	-3.836447e+01	-1.196778e+02
2.000000e-08	-5.533321e-06	-1.820612e-09	-3.836496e+01	-1.196678e+02
3.000000e-08	-5.533060e-06	-1.821555e-09	-3.836315e+01	-1.196588e+02
4.000000e-08	-5.532238e-06	-1.821420e-09	-3.835745e+01	-1.196503e+02
5.000000e-08	-5.530797e-06	-1.817186e-09	-3.834746e+01	-1.196420e+02
6.000000e-08	-5.528761e-06	-1.808285e-09	-3.833334e+01	-1.196335e+02
7.000000e-08	-5.526192e-06	-1.812776e-09	-3.831553e+01	-1.196244e+02
8.000000e-08	-5.523124e-06	-1.836131e-09	-3.829426e+01	-1.196142e+02
9.000000e-08	-5.519543e-06	-1.842484e-09	-3.826943e+01	-1.196024e+02
1.000000e-07	-5.515513e-06	-1.820645e-09	-3.824149e+01	-1.195885e+02
1.100000e-07	-5.511077e-06	-1.810315e-09	-3.821073e+01	-1.195720e+02
1.200000e-07	-5.506498e-06	-1.813395e-09	-3.817899e+01	-1.195524e+02
1.300000e-07	-5.501750e-06	-1.810438e-09	-3.814606e+01	-1.195290e+02
1.400000e-07	-5.496514e-06	-1.771991e-09	-3.810976e+01	-1.195015e+02
1.500000e-07	-5.490890e-06	-1.797933e-09	-3.807077e+01	-1.194693e+02
1.600000e-07	-5.484909e-06	-1.824613e-09	-3.802930e+01	-1.194319e+02
1.700000e-07	-5.478564e-06	-1.839322e-09	-3.798530e+01	-1.193888e+02
1.800000e-07	-5.471812e-06	-1.783265e-09	-3.793849e+01	-1.193396e+02
1.900000e-07	-5.464632e-06	-1.790876e-09	-3.788871e+01	-1.192838e+02
2.000000e-07	-5.457073e-06	-1.806348e-09	-3.783630e+01	-1.192211e+02
2.100000e-07	-5.449272e-06	-1.818417e-09	-3.778221e+01	-1.191511e+02
2.200000e-07	-5.441273e-06	-1.795599e-09	-3.772675e+01	-1.190734e+02
2.300000e-07	-5.432951e-06	-1.804495e-09	-3.766905e+01	-1.189879e+02
2.400000e-07	-5.424166e-06	-1.829587e-09	-3.760814e+01	-1.188942e+02
2.500000e-07	-5.414792e-06	-1.828392e-09	-3.754314e+01	-1.187923e+02
2.600000e-07	-5.404772e-06	-1.808505e-09	-3.747367e+01	-1.186820e+02
2.700000e-07	-5.394243e-06	-1.785235e-09	-3.740067e+01	-1.185633e+02
2.800000e-07	-5.383252e-06	-1.800668e-09	-3.732447e+01	-1.184360e+02
2.900000e-07	-5.371800e-06	-1.802160e-09	-3.724506e+01	-1.183002e+02
3.000000e-07	-5.359947e-06	-1.804072e-09	-3.716288e+01	-1.181561e+02
3.100000e-07	-5.347599e-06	-1.775167e-09	-3.707726e+01	-1.180036e+02
3.200000e-07	-5.334776e-06	-1.793810e-09	-3.698836e+01	-1.178430e+02
3.300000e-07	-5.321498e-06	-1.785878e-09	-3.689630e+01	-1.176746e+02
3.400000e-07	-5.307941e-06	-1.778415e-09	-3.680230e+01	-1.174984e+02
3.500000e-07	-5.294099e-06	-1.751739e-09	-3.670633e+01	-1.173148e+02
3.600000e-07	-5.279784e-06	-1.785878e-09	-3.660707e+01	-1.171242e+02
3.700000e-07	-5.264947e-06	-1.780531e-09	-3.650421e+01	-1.169268e+02
3.800000e-07	-5.249619e-06	-1.772534e-09	-3.639793e+01	-1.167231e+02
3.900000e-07	-5.233798e-06	-1.768558e-09	-3.628823e+01	-1.165133e+02
4.000000e-07	-5.217537e-06	-1.781122e-09	-3.617549e+01	-1.162979e+02
4.100000e-07	-5.200927e-06	-1.741521e-09	-3.606033e+01	-1.160773e+02
4.200000e-07	-5.183994e-06	-1.742916e-09	-3.594292e+01	-1.158519e+02
4.300000e-07	-5.166709e-06	-1.778207e-09	-3.582308e+01	-1.156221e+02
4.400000e-07	-5.149039e-06	-1.768864e-09	-3.570056e+01	-1.153883e+02
4.500000e-07	-5.130986e-06	-1.732475e-09	-3.557539e+01	-1.151509e+02
4.600000e-07	-5.112493e-06	-1.758681e-09	-3.544717e+01	-1.149102e+02
4.700000e-07	-5.093583e-06	-1.766552e-09	-3.531606e+01	-1.146667e+02
4.800000e-07	-5.074357e-06	-1.715913e-09	-3.518276e+01	-1.144206e+02
4.900000e-07	-5.054849e-06	-1.716809e-09	-3.504750e+01	-1.141722e+02
5.000000e-07	-5.035063e-06	-1.744293e-09	-3.491031e+01	-1.139218e+02
5.100000e-07	-5.015063e-06	-1.706463e-09	-3.477164e+01	-1.136697e+02
5.200000e-07	-4.994826e-06	-1.681648e-09	-3.463133e+01	-1.134160e+02
5.300000e-07	-4.974226e-06	-1.730807e-09	-3.448851e+01	-1.131610e+02
5.400000e-07	-4.953198e-06	-1.720754e-09	-3.434271e+01	-1.129047e+02
5.500000e-07	-4.931796e-06	-1.678230e-09	-3.419432e+01	-1.126473e+02
5.600000e-07	-4.910124e-06	-1.697023e-09	-3.404406e+01	-1.123887e+02
5.700000e-07	-4.888176e-06	-1.718609e-09	-3.389188e+01	-1.121291e+02
5.800000e-07	-4.865918e-06	-1.673730e-09	-3.373756e+01	-1.118684e+02
5.900000e-07	-4.843244e-06	-1.677598e-09	-3.358035e+01	-1.116065e+02
6.000000e-07	-4.820183e-06	-1.700897e-09	-3.342046e+01	-1.113433e+02
6.100000e-07	-4.796905e-06	-1.675349e-09	-3.325906e+01	-1.110788e+02
