# 251216_15:05:00.892500
t	CH1	CH2
0.000000e+00	4.016980e-03	-3.484834e+00
1.000000e-08	-7.389913e-03	-3.536212e+00
2.000000e-08	4.465106e-04	-3.536896e+00
3.000000e-08	-4.366865e-03	-3.538972e+00
4.000000e-08	1.839574e-03	-3.598973e+00
5.000000e-08	-6.316934e-03	-3.609471e+00
6.000000e-08	2.968877e-03	-3.661523e+00
7.000000e-08	-3.549304e-03	-3.621002e+00
8.000000e-08	6.302674e-05	-3.661632e+00
9.000000e-08	-5.080232e-03	-3.676078e+00
1.000000e-07	1.344793e-03	-3.744733e+00
1.100000e-07	-4.179949e-03	-3.704308e+00
1.200000e-07	-9.047512e-04	-3.819049e+00
1.300000e-07	-2.566341e-03	-3.792095e+00
1.400000e-07	-1.136146e-03	-3.883604e+00
1.500000e-07	-3.145582e-03	-3.925664e+00
1.600000e-07	-6.943600e-04	-3.936891e+00
1.700000e-07	-1.435351e-03	-3.928385e+00
1.800000e-07	-1.524003e-03	-3.977919e+00
1.900000e-07	-1.604740e-03	-3.989447e+00
2.000000e-07	-1.375646e-03	-4.009548e+00
2.100000e-07	-1.380585e-03	-4.011026e+00
2.200000e-07	-3.351466e-03	-4.012000e+00
2.300000e-07	-7.439259e-04	-4.023077e+00
2.400000e-07	-3.008351e-03	-4.042629e+00
2.500000e-07	-9.108430e-04	-4.074182e+00
2.600000e-07	-2.299180e-03	-4.074661e+00
2.700000e-07	6.992143e-04	-4.136787e+00
2.800000e-07	-2.953567e-03	-4.126714e+00
2.900000e-07	-5.754468e-04	-4.167914e+00
3.000000e-07	-3.086433e-03	-4.168821e+00
3.100000e-07	-4.508924e-04	-4.208947e+00
3.200000e-07	-2.680309e-03	-4.189421e+00
3.300000e-07	6.550077e-04	-4.230499e+00
3.400000e-07	-2.723062e-03	-4.210078e+00
3.500000e-07	-3.438180e-04	-4.270579e+00
3.600000e-07	-2.307341e-03	-4.242082e+00
3.700000e-07	1.288838e-04	-4.294206e+00
3.800000e-07	-3.098523e-03	-4.324610e+00
3.900000e-07	-2.543793e-04	-4.314212e+00
4.000000e-07	-2.387330e-03	-4.306339e+00
4.100000e-07	-1.444122e-03	-4.346815e+00
4.200000e-07	-9.712640e-04	-4.357341e+00
4.300000e-07	-3.356503e-03	-4.367840e+00
4.400000e-07	1.341332e-03	-4.379941e+00
4.500000e-07	-1.868426e-03	-4.399994e+00
4.600000e-07	8.163585e-04	-4.370498e+00
4.700000e-07	-2.328874e-03	-4.419949e+00
4.800000e-07	-8.869042e-04	-4.409499e+00
4.900000e-07	-2.523661e-03	-4.409974e+00
5.000000e-07	-2.364293e-03	-4.401026e+00
5.100000e-07	-1.166604e-03	-4.430525e+00
5.200000e-07	-3.532991e-04	-4.401526e+00
5.300000e-07	4.796291e-04	-4.420628e+00
5.400000e-07	-3.403525e-04	-4.442028e+00
5.500000e-07	-2.804246e-04	-4.462178e+00
5.600000e-07	-1.513458e-03	-4.461582e+00
5.700000e-07	-1.862958e-03	-4.441707e+00
5.800000e-07	-9.797660e-04	-4.454654e+00
5.900000e-07	-1.417397e-03	-4.502705e+00
6.000000e-07	5.729864e-04	-4.503756e+00
6.100000e-07	7.164032e-04	-4.504233e+00
6.200000e-07	-3.701473e-04	-4.495687e+00
6.300000e-07	1.313241e-04	-4.525207e+00
6.400000e-07	-2.603013e-03	-4.506738e+00
6.500000e-07	-3.059345e-05	-4.523861e+00
6.600000e-07	-2.117630e-03	-4.575888e+00
6.700000e-07	4.671834e-04	-4.548839e+00
6.800000e-07	1.350637e-05	-4.567865e+00
6.900000e-07	1.229047e-03	-4.546943e+00
7.000000e-07	3.147091e-04	-4.596941e+00
7.100000e-07	3.998555e-05	-4.568292e+00
7.200000e-07	-1.262463e-03	-4.618374e+00
7.300000e-07	-2.838165e-04	-4.558449e+00
7.400000e-07	-6.860055e-04	-4.629949e+00
7.500000e-07	1.599601e-03	-4.628897e+00
7.600000e-07	8.130757e-04	-4.600498e+00
7.700000e-07	1.881084e-03	-4.611046e+00
7.800000e-07	-1.474139e-03	-4.631500e+00
7.900000e-07	1.075575e-03	-4.640025e+00
8.000000e-07	-2.864486e-03	-4.600950e+00
8.100000e-07	2.057095e-03	-4.590526e+00
8.200000e-07	8.418391e-04	-4.620471e+00
8.300000e-07	2.131940e-03	-4.621646e+00
8.400000e-07	8.078610e-04	-4.612550e+00
8.500000e-07	4.107208e-04	-4.591525e+00
8.600000e-07	1.517028e-03	-4.660951e+00
8.700000e-07	-2.197319e-03	-4.619996e+00
8.800000e-07	2.470422e-03	-4.650074e+00
8.900000e-07	-4.319915e-04	-4.600426e+00
9.000000e-07	4.063897e-03	-4.610574e+00
9.100000e-07	-1.040823e-03	-4.620001e+00
9.200000e-07	4.469156e-03	-4.610548e+00
9.300000e-07	-1.116339e-03	-4.579426e+00
9.400000e-07	3.249818e-03	-4.588947e+00
9.500000e-07	-2.470663e-04	-4.640471e+00
9.600000e-07	2.243862e-03	-4.599901e+00
9.700000e-07	1.827603e-04	-4.598919e+00
9.800000e-07	1.595214e-03	-4.588944e+00
9.900000e-07	6.240110e-04	-4.596941e+00
1.000000e-06	4.293433e-03	-4.588449e+00
1.010000e-06	1.675498e-03	-4.556365e+00
1.020000e-06	3.555067e-03	-4.529442e+00
1.030000e-06	5.924743e-05	-4.588891e+00
1.040000e-06	1.498363e-03	-4.555767e+00
1.050000e-06	-7.940353e-04	-4.506339e+00
1.060000e-06	7.562967e-04	-4.515292e+00
1.070000e-06	1.593953e-03	-4.492789e+00
1.080000e-06	2.854061e-03	-4.494263e+00
1.090000e-06	2.579262e-03	-4.514687e+00
1.100000e-06	1.587921e-03	-4.504214e+00
1.110000e-06	9.636625e-04	-4.461159e+00
1.120000e-06	4.005600e-04	-4.511603e+00
1.130000e-06	6.146687e-04	-4.453607e+00
1.140000e-06	8.523483e-05	-4.431104e+00
1.150000e-06	2.188199e-03	-4.442104e+00
1.160000e-06	1.078681e-03	-4.432155e+00
1.170000e-06	3.022162e-03	-4.441053e+00
1.180000e-06	8.426131e-04	-4.430578e+00
1.190000e-06	1.151332e-03	-4.401025e+00
1.200000e-06	4.734218e-04	-4.400998e+00
1.210000e-06	1.179381e-03	-4.410500e+00
1.220000e-06	-4.115928e-04	-4.399474e+00
1.230000e-06	2.262868e-03	-4.369473e+00
1.240000e-06	1.183568e-03	-4.399446e+00
1.250000e-06	6.618467e-04	-4.409449e+00
1.260000e-06	7.418836e-04	-4.348447e+00
1.270000e-06	1.531822e-03	-4.387871e+00
1.280000e-06	2.256585e-04	-4.355844e+00
1.290000e-06	1.167358e-03	-4.355818e+00
1.300000e-06	4.962290e-04	-4.334738e+00
1.310000e-06	8.730561e-04	-4.324737e+00
1.320000e-06	1.573536e-04	-4.314209e+00
1.330000e-06	1.161292e-03	-4.252208e+00
1.340000e-06	3.367895e-04	-4.261553e+00
1.350000e-06	3.583209e-05	-4.241529e+00
1.360000e-06	3.802452e-04	-4.229024e+00
1.370000e-06	1.405306e-03	-4.221050e+00
1.380000e-06	4.248513e-04	-4.228374e+00
1.390000e-06	6.907039e-04	-4.168346e+00
1.400000e-06	1.010076e-03	-4.186344e+00
1.410000e-06	2.249735e-04	-4.156797e+00
1.420000e-06	-5.794652e-05	-4.136263e+00
1.430000e-06	-6.040775e-04	-4.105214e+00
1.440000e-06	-8.586376e-05	-4.104131e+00
1.450000e-06	2.736838e-04	-4.072654e+00
1.460000e-06	1.770156e-04	-4.052704e+00
1.470000e-06	-9.620869e-05	-4.031451e+00
1.480000e-06	5.877405e-04	-4.040105e+00
1.490000e-06	4.425361e-04	-4.020499e+00
1.500000e-06	1.547406e-04	-3.989998e+00
1.510000e-06	-1.409000e-03	-3.989924e+00
1.520000e-06	-5.398709e-04	-3.978420e+00
1.530000e-06	-4.300451e-04	-3.977818e+00
1.540000e-06	-4.853550e-04	-3.965342e+00
1.550000e-06	-1.291264e-04	-3.923686e+00
1.560000e-06	-1.510781e-04	-3.853640e+00
1.570000e-06	-1.051029e-03	-3.851058e+00
1.580000e-06	-3.515422e-04	-3.828026e+00
1.590000e-06	-7.824791e-04	-3.746843e+00
1.600000e-06	-9.570723e-04	-3.734287e+00
1.610000e-06	-1.347834e-03	-3.714233e+00
1.620000e-06	1.444661e-04	-3.632628e+00
1.630000e-06	-5.711583e-04	-3.630053e+00
1.640000e-06	-1.373745e-03	-3.579979e+00
1.650000e-06	-1.349902e-03	-3.599000e+00
1.660000e-06	-2.583959e-04	-3.599445e+00
1.670000e-06	-1.446605e-03	-3.556972e+00
1.680000e-06	-4.868655e-04	-3.546921e+00
1.690000e-06	-2.544415e-04	-3.526312e+00
1.700000e-06	-2.389716e-04	-3.503736e+00
1.710000e-06	-8.503790e-04	-3.462684e+00
1.720000e-06	-4.176653e-04	-3.462605e+00
1.730000e-06	-1.391422e-03	-3.410526e+00
1.740000e-06	-1.421910e-03	-3.409524e+00
1.750000e-06	-1.892260e-03	-3.377920e+00
1.760000e-06	-1.378146e-03	-3.285368e+00
1.770000e-06	-6.731666e-04	-3.337114e+00
1.780000e-06	-6.788148e-04	-3.282734e+00
1.790000e-06	-2.855679e-04	-3.282606e+00
1.800000e-06	-5.181291e-04	-3.211530e+00
1.810000e-06	-1.053657e-03	-3.219526e+00
1.820000e-06	-1.062459e-03	-3.209450e+00
1.830000e-06	-1.420692e-03	-3.178422e+00
1.840000e-06	-1.667435e-03	-3.177922e+00
1.850000e-06	-1.246918e-03	-3.115316e+00
1.860000e-06	-1.038456e-03	-3.061631e+00
1.870000e-06	-1.193131e-03	-3.019506e+00
1.880000e-06	-5.791444e-04	-3.019492e+00
1.890000e-06	-4.642210e-04	-2.904861e+00
1.900000e-06	-1.368447e-03	-2.892610e+00
1.910000e-06	-4.424459e-04	-2.852104e+00
1.920000e-06	-1.743410e-03	-2.808976e+00
1.930000e-06	-1.326485e-03	-2.829476e+00
1.940000e-06	-1.858468e-03	-2.777997e+00
1.950000e-06	-1.815959e-03	-2.767948e+00
1.960000e-06	-1.058850e-03	-2.745893e+00
1.970000e-06	-5.043756e-04	-2.735263e+00
1.980000e-06	-8.148728e-04	-2.701632e+00
1.990000e-06	-5.686816e-04	-2.671158e+00
2.000000e-06	-1.589908e-03	-2.628525e+00
2.010000e-06	-1.554186e-03	-2.589421e+00
2.020000e-06	-1.253528e-03	-2.557368e+00
2.030000e-06	-1.753511e-03	-2.494268e+00
2.040000e-06	-1.871962e-03	-2.452685e+00
2.050000e-06	-1.834472e-04	-2.491602e+00
2.060000e-06	-2.177235e-03	-2.400030e+00
2.070000e-06	-1.109205e-03	-2.411024e+00
2.080000e-06	-3.110850e-03	-2.408448e+00
2.090000e-06	-1.032237e-03	-2.353846e+00
2.100000e-06	-1.185134e-03	-2.364763e+00
2.110000e-06	-1.395974e-03	-2.314713e+00
2.120000e-06	3.147011e-05	-2.240131e+00
2.130000e-06	-4.368060e-03	-2.177344e+00
2.140000e-06	-3.975135e-04	-2.114742e+00
2.150000e-06	-4.183501e-03	-2.052152e+00
2.160000e-06	2.444806e-04	-2.021050e+00
2.170000e-06	-3.573040e-03	-1.999001e+00
2.180000e-06	7.700459e-04	-1.987899e+00
2.190000e-06	-3.904889e-03	-1.967897e+00
2.200000e-06	-4.049518e-04	-1.945819e+00
2.210000e-06	-3.893201e-03	-1.902214e+00
2.220000e-06	-2.972095e-04	-1.851058e+00
2.230000e-06	-4.024744e-03	-1.831054e+00
2.240000e-06	-7.355924e-04	-1.787502e+00
2.250000e-06	-2.939842e-03	-1.776875e+00
2.260000e-06	-8.253019e-04	-1.767365e+00
2.270000e-06	-3.008751e-03	-1.662212e+00
2.280000e-06	-1.990547e-03	-1.711658e+00
2.290000e-06	-3.620011e-03	-1.611051e+00
2.300000e-06	-9.133796e-04	-1.608951e+00
2.310000e-06	-2.818179e-03	-1.577450e+00
