# Temperatura_=_24.7
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135086.51414351468

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.502058e-06	-1.034295e-10	-3.838101e+01	-5.943726e+00
1.000000e-08	-5.502234e-06	-1.054611e-10	-3.838223e+01	-5.937928e+00
2.000000e-08	-5.502257e-06	-1.057692e-10	-3.838240e+01	-5.929166e+00
3.000000e-08	-5.501947e-06	-1.052585e-10	-3.838023e+01	-5.917401e+00
4.000000e-08	-5.501078e-06	-1.059302e-10	-3.837417e+01	-5.902614e+00
5.000000e-08	-5.499760e-06	-1.046605e-10	-3.836498e+01	-5.884810e+00
6.000000e-08	-5.497982e-06	-1.051920e-10	-3.835257e+01	-5.864014e+00
7.000000e-08	-5.495591e-06	-8.339852e-11	-3.833590e+01	-5.840274e+00
8.000000e-08	-5.492536e-06	-4.969390e-11	-3.831458e+01	-5.813657e+00
9.000000e-08	-5.489026e-06	-8.494662e-11	-3.829010e+01	-5.784252e+00
1.000000e-07	-5.485117e-06	-1.660560e-10	-3.826283e+01	-5.752169e+00
1.100000e-07	-5.480761e-06	-1.500083e-10	-3.823244e+01	-5.717534e+00
1.200000e-07	-5.476237e-06	-7.776123e-11	-3.820089e+01	-5.680492e+00
1.300000e-07	-5.471491e-06	-8.395907e-12	-3.816778e+01	-5.641204e+00
1.400000e-07	-5.466384e-06	-1.045763e-10	-3.813216e+01	-5.599846e+00
1.500000e-07	-5.460906e-06	-1.397245e-10	-3.809394e+01	-5.556606e+00
1.600000e-07	-5.455023e-06	-8.187793e-11	-3.805290e+01	-5.511683e+00
1.700000e-07	-5.448773e-06	-4.539180e-11	-3.800931e+01	-5.465288e+00
1.800000e-07	-5.442083e-06	-1.086787e-10	-3.796264e+01	-5.417635e+00
1.900000e-07	-5.434870e-06	-1.598998e-10	-3.791232e+01	-5.368948e+00
2.000000e-07	-5.427327e-06	-7.029776e-11	-3.785970e+01	-5.319450e+00
2.100000e-07	-5.419650e-06	-1.164154e-11	-3.780615e+01	-5.269368e+00
2.200000e-07	-5.411762e-06	-5.073988e-11	-3.775113e+01	-5.218927e+00
2.300000e-07	-5.403548e-06	-1.214824e-10	-3.769383e+01	-5.168350e+00
2.400000e-07	-5.395056e-06	-1.027647e-10	-3.763459e+01	-5.117855e+00
2.500000e-07	-5.385992e-06	-5.220838e-11	-3.757136e+01	-5.067653e+00
2.600000e-07	-5.376133e-06	-3.928488e-11	-3.750258e+01	-5.017946e+00
2.700000e-07	-5.365564e-06	-7.521329e-11	-3.742886e+01	-4.968927e+00
2.800000e-07	-5.354439e-06	-5.631910e-11	-3.735125e+01	-4.920776e+00
2.900000e-07	-5.342963e-06	-4.035473e-11	-3.727120e+01	-4.873662e+00
3.000000e-07	-5.331077e-06	-5.205456e-11	-3.718828e+01	-4.827738e+00
3.100000e-07	-5.318832e-06	-9.773285e-11	-3.710287e+01	-4.783142e+00
3.200000e-07	-5.306148e-06	-6.712042e-11	-3.701439e+01	-4.739996e+00
3.300000e-07	-5.292972e-06	-3.849365e-11	-3.692248e+01	-4.698403e+00
3.400000e-07	-5.279504e-06	-5.713160e-11	-3.682852e+01	-4.658452e+00
3.500000e-07	-5.265803e-06	-8.980580e-11	-3.673295e+01	-4.620211e+00
3.600000e-07	-5.251616e-06	-4.372061e-11	-3.663399e+01	-4.583732e+00
3.700000e-07	-5.236943e-06	-4.081828e-11	-3.653163e+01	-4.549048e+00
3.800000e-07	-5.221638e-06	-7.764907e-11	-3.642487e+01	-4.516175e+00
3.900000e-07	-5.205625e-06	-6.726274e-11	-3.631316e+01	-4.485110e+00
4.000000e-07	-5.189232e-06	-2.580533e-11	-3.619881e+01	-4.455836e+00
4.100000e-07	-5.172493e-06	-6.256493e-11	-3.608204e+01	-4.428318e+00
4.200000e-07	-5.155437e-06	-8.649150e-11	-3.596306e+01	-4.402507e+00
4.300000e-07	-5.138083e-06	-2.879526e-11	-3.584200e+01	-4.378339e+00
4.400000e-07	-5.120431e-06	-3.488408e-11	-3.571887e+01	-4.355740e+00
4.500000e-07	-5.102501e-06	-8.888563e-11	-3.559380e+01	-4.334622e+00
4.600000e-07	-5.084219e-06	-6.262864e-11	-3.546626e+01	-4.314887e+00
4.700000e-07	-5.065489e-06	-1.871607e-11	-3.533561e+01	-4.296430e+00
4.800000e-07	-5.046296e-06	-6.708670e-11	-3.520172e+01	-4.279138e+00
4.900000e-07	-5.026794e-06	-7.309645e-11	-3.506568e+01	-4.262893e+00
5.000000e-07	-5.007118e-06	-3.771861e-11	-3.492843e+01	-4.247572e+00
5.100000e-07	-4.987269e-06	-6.155489e-11	-3.478996e+01	-4.233052e+00
5.200000e-07	-4.967145e-06	-8.909332e-11	-3.464958e+01	-4.219207e+00
5.300000e-07	-4.946635e-06	-3.694474e-11	-3.450651e+01	-4.205912e+00
5.400000e-07	-4.925785e-06	-4.764606e-11	-3.436107e+01	-4.193045e+00
5.500000e-07	-4.904579e-06	-9.106368e-11	-3.421314e+01	-4.180488e+00
5.600000e-07	-4.883053e-06	-6.493984e-11	-3.406298e+01	-4.168127e+00
5.700000e-07	-4.861152e-06	-2.441013e-11	-3.391020e+01	-4.155853e+00
5.800000e-07	-4.838897e-06	-6.042914e-11	-3.375496e+01	-4.143566e+00
5.900000e-07	-4.816301e-06	-6.209060e-11	-3.359734e+01	-4.131173e+00
6.000000e-07	-4.793328e-06	-3.759030e-11	-3.343708e+01	-4.118590e+00
6.100000e-07	-4.770003e-06	-5.113895e-11	-3.327437e+01	-4.105743e+00
6.200000e-07	-4.746432e-06	-6.804312e-11	-3.310995e+01	-4.092566e+00
6.300000e-07	-4.722675e-06	-4.782425e-11	-3.294423e+01	-4.079007e+00
6.400000e-07	-4.698702e-06	-5.212701e-11	-3.277699e+01	-4.065020e+00
6.500000e-07	-4.674487e-06	-6.121264e-11	-3.260808e+01	-4.050574e+00
6.600000e-07	-4.649913e-06	-4.933952e-11	-3.243666e+01	-4.035644e+00
6.700000e-07	-4.624854e-06	-4.252100e-11	-3.226184e+01	-4.020219e+00
6.800000e-07	-4.599250e-06	-5.466247e-11	-3.208324e+01	-4.004296e+00
6.900000e-07	-4.573055e-06	-5.418325e-11	-3.190051e+01	-3.987880e+00
7.000000e-07	-4.546341e-06	-4.991432e-11	-3.171416e+01	-3.970987e+00
7.100000e-07	-4.519213e-06	-5.371017e-11	-3.152492e+01	-3.953638e+00
7.200000e-07	-4.491729e-06	-5.194565e-11	-3.133320e+01	-3.935865e+00
7.300000e-07	-4.464077e-06	-4.777266e-11	-3.114031e+01	-3.917701e+00
7.400000e-07	-4.436288e-06	-4.595120e-11	-3.094646e+01	-3.899187e+00
7.500000e-07	-4.408367e-06	-4.708189e-11	-3.075169e+01	-3.880367e+00
7.600000e-07	-4.380254e-06	-4.565031e-11	-3.055558e+01	-3.861288e+00
7.700000e-07	-4.351822e-06	-4.646634e-11	-3.035724e+01	-3.841997e+00
7.800000e-07	-4.322974e-06	-4.455145e-11	-3.015601e+01	-3.822542e+00
7.900000e-07	-4.293810e-06	-4.531889e-11	-2.995257e+01	-3.802972e+00
8.000000e-07	-4.264396e-06	-4.461282e-11	-2.974738e+01	-3.783331e+00
8.100000e-07	-4.234649e-06	-4.843037e-11	-2.953987e+01	-3.763662e+00
