# 251216_16:14:24.133176
t	CH1	CH2
0.000000e+00	-8.140066e-04	-3.524862e+00
1.000000e-08	-1.634517e-03	-3.557418e+00
2.000000e-08	-2.382847e-03	-3.539467e+00
3.000000e-08	-3.567063e-03	-3.589494e+00
4.000000e-08	5.654205e-04	-3.589500e+00
5.000000e-08	-2.580526e-03	-3.609549e+00
6.000000e-08	-2.252559e-03	-3.621076e+00
7.000000e-08	-7.643665e-04	-3.631578e+00
8.000000e-08	-9.806824e-04	-3.653230e+00
9.000000e-08	-2.415289e-03	-3.706264e+00
1.000000e-07	-1.254239e-03	-3.716763e+00
1.100000e-07	-1.970766e-03	-3.778296e+00
1.200000e-07	-2.765482e-03	-3.789564e+00
1.300000e-07	-1.275001e-03	-3.831078e+00
1.400000e-07	-1.449690e-03	-3.853253e+00
1.500000e-07	-9.657764e-04	-3.892918e+00
1.600000e-07	-1.556919e-03	-3.949392e+00
1.700000e-07	-9.330987e-04	-3.937919e+00
1.800000e-07	-1.474513e-03	-3.949494e+00
1.900000e-07	-2.459583e-03	-3.998547e+00
2.000000e-07	-3.134952e-03	-4.009474e+00
2.100000e-07	-3.712082e-04	-4.011026e+00
2.200000e-07	-4.125589e-03	-4.011053e+00
2.300000e-07	2.499202e-03	-4.052179e+00
2.400000e-07	-2.304814e-03	-4.082083e+00
2.500000e-07	1.164577e-03	-4.043783e+00
2.600000e-07	-4.115508e-03	-4.075286e+00
2.700000e-07	-3.546438e-04	-4.115466e+00
2.800000e-07	-4.058959e-03	-4.074840e+00
2.900000e-07	-6.941450e-04	-4.168365e+00
3.000000e-07	-1.422995e-03	-4.159971e+00
3.100000e-07	-3.705997e-04	-4.209473e+00
3.200000e-07	-1.552860e-03	-4.200049e+00
3.300000e-07	-5.607476e-04	-4.231577e+00
3.400000e-07	-2.965722e-03	-4.221177e+00
3.500000e-07	-1.568796e-03	-4.243629e+00
3.600000e-07	-3.639091e-03	-4.272259e+00
3.700000e-07	-1.693461e-03	-4.295257e+00
3.800000e-07	-2.242168e-03	-4.294887e+00
3.900000e-07	-7.986621e-04	-4.325858e+00
4.000000e-07	2.707582e-04	-4.295868e+00
4.100000e-07	-2.618016e-03	-4.336441e+00
4.200000e-07	2.807162e-04	-4.366418e+00
4.300000e-07	-3.697192e-03	-4.368997e+00
4.400000e-07	-1.294450e-03	-4.378471e+00
4.500000e-07	-3.826094e-03	-4.378948e+00
4.600000e-07	2.272285e-04	-4.389524e+00
4.700000e-07	-1.576847e-03	-4.389522e+00
4.800000e-07	1.196770e-03	-4.399050e+00
4.900000e-07	-2.348192e-03	-4.410050e+00
5.000000e-07	-4.948767e-04	-4.402077e+00
5.100000e-07	-3.397494e-03	-4.411629e+00
5.200000e-07	-1.042289e-03	-4.421603e+00
5.300000e-07	-3.251459e-03	-4.410552e+00
5.400000e-07	-6.014705e-04	-4.454104e+00
5.500000e-07	-2.155250e-03	-4.431755e+00
5.600000e-07	5.630988e-04	-4.443634e+00
5.700000e-07	-7.191459e-04	-4.442286e+00
5.800000e-07	-6.788748e-04	-4.503234e+00
5.900000e-07	-1.605177e-03	-4.476258e+00
6.000000e-07	-1.746331e-03	-4.495388e+00
6.100000e-07	-1.361101e-03	-4.496259e+00
6.200000e-07	-2.504827e-03	-4.547888e+00
6.300000e-07	2.356093e-04	-4.518961e+00
6.400000e-07	-8.058683e-04	-4.559040e+00
6.500000e-07	1.370198e-04	-4.527338e+00
6.600000e-07	-3.108907e-04	-4.526968e+00
6.700000e-07	-6.675952e-04	-4.588495e+00
6.800000e-07	-1.105356e-03	-4.597996e+00
6.900000e-07	-1.161074e-03	-4.586924e+00
7.000000e-07	-1.910215e-03	-4.569012e+00
7.100000e-07	-2.456855e-04	-4.618649e+00
7.200000e-07	-1.086136e-06	-4.618550e+00
7.300000e-07	3.736384e-04	-4.599971e+00
7.400000e-07	-5.516728e-04	-4.639626e+00
7.500000e-07	4.736113e-04	-4.620557e+00
7.600000e-07	-2.038767e-04	-4.620600e+00
7.700000e-07	4.692907e-04	-4.540475e+00
7.800000e-07	-1.014263e-04	-4.641131e+00
7.900000e-07	-1.556218e-04	-4.580601e+00
8.000000e-07	-1.090575e-03	-4.612100e+00
8.100000e-07	9.899742e-04	-4.612145e+00
8.200000e-07	-7.250843e-04	-4.630976e+00
8.300000e-07	8.312132e-04	-4.621601e+00
8.400000e-07	1.999589e-04	-4.611678e+00
8.500000e-07	8.997144e-04	-4.641105e+00
8.600000e-07	2.237896e-04	-4.600554e+00
8.700000e-07	1.225899e-03	-4.634105e+00
8.800000e-07	1.459409e-04	-4.620154e+00
8.900000e-07	9.185413e-05	-4.641025e+00
9.000000e-07	1.013400e-03	-4.601651e+00
9.100000e-07	7.850524e-04	-4.652624e+00
9.200000e-07	9.272221e-04	-4.620576e+00
9.300000e-07	7.625205e-05	-4.650100e+00
9.400000e-07	6.100193e-04	-4.630075e+00
9.500000e-07	8.519546e-04	-4.580121e+00
9.600000e-07	5.315672e-04	-4.601479e+00
9.700000e-07	1.432691e-03	-4.578551e+00
9.800000e-07	8.921501e-04	-4.588470e+00
9.900000e-07	-1.400726e-05	-4.629070e+00
1.000000e-06	1.113931e-03	-4.580044e+00
1.010000e-06	6.085522e-05	-4.578421e+00
1.020000e-06	7.296998e-04	-4.558942e+00
1.030000e-06	4.556910e-04	-4.578967e+00
1.040000e-06	1.040793e-03	-4.559965e+00
1.050000e-06	2.540802e-04	-4.516491e+00
1.060000e-06	1.322079e-03	-4.505366e+00
1.070000e-06	2.325551e-04	-4.483840e+00
1.080000e-06	8.326439e-04	-4.486233e+00
1.090000e-06	4.213441e-04	-4.524811e+00
1.100000e-06	9.103959e-04	-4.492784e+00
1.110000e-06	3.661278e-04	-4.495285e+00
1.120000e-06	5.318915e-04	-4.482758e+00
1.130000e-06	2.518689e-04	-4.444180e+00
1.140000e-06	6.648079e-05	-4.451607e+00
1.150000e-06	4.528432e-04	-4.503204e+00
1.160000e-06	1.142891e-03	-4.470655e+00
1.170000e-06	8.912752e-04	-4.441627e+00
1.180000e-06	5.727915e-04	-4.421026e+00
1.190000e-06	5.869418e-04	-4.431028e+00
1.200000e-06	-5.385624e-04	-4.401551e+00
1.210000e-06	-2.256580e-04	-4.390600e+00
