# Temperatura_=_0.9
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135105.6663576678

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.513431e-06	-1.413249e-09	-3.837021e+01	-9.096780e+01
1.000000e-08	-5.513665e-06	-1.407393e-09	-3.837184e+01	-9.094255e+01
2.000000e-08	-5.513483e-06	-1.401544e-09	-3.837057e+01	-9.091642e+01
3.000000e-08	-5.512840e-06	-1.395852e-09	-3.836610e+01	-9.088931e+01
4.000000e-08	-5.511711e-06	-1.394468e-09	-3.835824e+01	-9.086111e+01
5.000000e-08	-5.510089e-06	-1.397901e-09	-3.834695e+01	-9.083170e+01
6.000000e-08	-5.507914e-06	-1.408670e-09	-3.833182e+01	-9.080096e+01
7.000000e-08	-5.505164e-06	-1.429661e-09	-3.831268e+01	-9.076873e+01
8.000000e-08	-5.501896e-06	-1.442045e-09	-3.828993e+01	-9.073488e+01
9.000000e-08	-5.498202e-06	-1.403088e-09	-3.826423e+01	-9.069923e+01
1.000000e-07	-5.494147e-06	-1.344118e-09	-3.823601e+01	-9.066163e+01
1.100000e-07	-5.489763e-06	-1.342915e-09	-3.820550e+01	-9.062191e+01
1.200000e-07	-5.485207e-06	-1.455540e-09	-3.817379e+01	-9.057990e+01
1.300000e-07	-5.480289e-06	-1.473620e-09	-3.813956e+01	-9.053541e+01
1.400000e-07	-5.474858e-06	-1.387605e-09	-3.810177e+01	-9.048827e+01
1.500000e-07	-5.469109e-06	-1.328440e-09	-3.806175e+01	-9.043830e+01
1.600000e-07	-5.463106e-06	-1.408281e-09	-3.801998e+01	-9.038532e+01
1.700000e-07	-5.456696e-06	-1.461693e-09	-3.797537e+01	-9.032916e+01
1.800000e-07	-5.449761e-06	-1.393565e-09	-3.792710e+01	-9.026964e+01
1.900000e-07	-5.442421e-06	-1.344586e-09	-3.787602e+01	-9.020660e+01
2.000000e-07	-5.434874e-06	-1.414039e-09	-3.782350e+01	-9.013988e+01
2.100000e-07	-5.427055e-06	-1.472656e-09	-3.776909e+01	-9.006930e+01
2.200000e-07	-5.418967e-06	-1.418031e-09	-3.771280e+01	-8.999473e+01
2.300000e-07	-5.410592e-06	-1.349015e-09	-3.765451e+01	-8.991601e+01
2.400000e-07	-5.401606e-06	-1.359968e-09	-3.759197e+01	-8.983301e+01
2.500000e-07	-5.391845e-06	-1.405210e-09	-3.752404e+01	-8.974559e+01
2.600000e-07	-5.381514e-06	-1.389606e-09	-3.745214e+01	-8.965364e+01
2.700000e-07	-5.370764e-06	-1.359443e-09	-3.737733e+01	-8.955703e+01
2.800000e-07	-5.359516e-06	-1.351308e-09	-3.729905e+01	-8.945565e+01
2.900000e-07	-5.347869e-06	-1.372257e-09	-3.721800e+01	-8.934942e+01
3.000000e-07	-5.335930e-06	-1.352372e-09	-3.713491e+01	-8.923823e+01
3.100000e-07	-5.323571e-06	-1.334169e-09	-3.704889e+01	-8.912201e+01
3.200000e-07	-5.310737e-06	-1.341877e-09	-3.695958e+01	-8.900068e+01
3.300000e-07	-5.297539e-06	-1.380339e-09	-3.686773e+01	-8.887417e+01
3.400000e-07	-5.283980e-06	-1.353165e-09	-3.677337e+01	-8.874243e+01
3.500000e-07	-5.269996e-06	-1.324628e-09	-3.667605e+01	-8.860541e+01
3.600000e-07	-5.255527e-06	-1.331014e-09	-3.657535e+01	-8.846305e+01
3.700000e-07	-5.240502e-06	-1.351208e-09	-3.647079e+01	-8.831533e+01
3.800000e-07	-5.224910e-06	-1.312533e-09	-3.636227e+01	-8.816222e+01
3.900000e-07	-5.208786e-06	-1.322707e-09	-3.625006e+01	-8.800368e+01
4.000000e-07	-5.192270e-06	-1.366198e-09	-3.613512e+01	-8.783971e+01
4.100000e-07	-5.175491e-06	-1.340936e-09	-3.601835e+01	-8.767030e+01
4.200000e-07	-5.158350e-06	-1.292729e-09	-3.589906e+01	-8.749543e+01
4.300000e-07	-5.140935e-06	-1.336732e-09	-3.577786e+01	-8.731511e+01
4.400000e-07	-5.123312e-06	-1.350766e-09	-3.565521e+01	-8.712934e+01
4.500000e-07	-5.105188e-06	-1.271529e-09	-3.552908e+01	-8.693814e+01
4.600000e-07	-5.086491e-06	-1.279845e-09	-3.539896e+01	-8.674151e+01
4.700000e-07	-5.067420e-06	-1.352010e-09	-3.526624e+01	-8.653949e+01
4.800000e-07	-5.048079e-06	-1.315338e-09	-3.513164e+01	-8.633209e+01
4.900000e-07	-5.028543e-06	-1.266695e-09	-3.499568e+01	-8.611935e+01
5.000000e-07	-5.008826e-06	-1.325089e-09	-3.485846e+01	-8.590129e+01
5.100000e-07	-4.988858e-06	-1.319582e-09	-3.471949e+01	-8.567797e+01
5.200000e-07	-4.968515e-06	-1.253832e-09	-3.457792e+01	-8.544941e+01
5.300000e-07	-4.947832e-06	-1.279353e-09	-3.443398e+01	-8.521568e+01
5.400000e-07	-4.926826e-06	-1.309740e-09	-3.428779e+01	-8.497681e+01
5.500000e-07	-4.905421e-06	-1.241004e-09	-3.413882e+01	-8.473287e+01
5.600000e-07	-4.883701e-06	-1.246018e-09	-3.398766e+01	-8.448392e+01
5.700000e-07	-4.861681e-06	-1.304411e-09	-3.383442e+01	-8.423002e+01
5.800000e-07	-4.839275e-06	-1.269618e-09	-3.367848e+01	-8.397125e+01
5.900000e-07	-4.816385e-06	-1.227727e-09	-3.351918e+01	-8.370768e+01
6.000000e-07	-4.793170e-06	-1.278010e-09	-3.335762e+01	-8.343938e+01
6.100000e-07	-4.769733e-06	-1.272883e-09	-3.319451e+01	-8.316645e+01
6.200000e-07	-4.746082e-06	-1.222867e-09	-3.302991e+01	-8.288896e+01
6.300000e-07	-4.722297e-06	-1.236227e-09	-3.286439e+01	-8.260701e+01
6.400000e-07	-4.698180e-06	-1.251575e-09	-3.269655e+01	-8.232069e+01
6.500000e-07	-4.673585e-06	-1.212057e-09	-3.252538e+01	-8.203010e+01
6.600000e-07	-4.648536e-06	-1.213538e-09	-3.235105e+01	-8.173534e+01
