# Temperatura_=_-0.27
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135104.8620631614

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.523772e-06	-1.433121e-09	-3.837044e+01	-9.352180e+01
1.000000e-08	-5.523813e-06	-1.430193e-09	-3.837073e+01	-9.350702e+01
2.000000e-08	-5.523553e-06	-1.428823e-09	-3.836892e+01	-9.348852e+01
3.000000e-08	-5.522906e-06	-1.428039e-09	-3.836442e+01	-9.346631e+01
4.000000e-08	-5.521708e-06	-1.425887e-09	-3.835611e+01	-9.344039e+01
5.000000e-08	-5.519956e-06	-1.419726e-09	-3.834393e+01	-9.341078e+01
6.000000e-08	-5.517696e-06	-1.398674e-09	-3.832823e+01	-9.337750e+01
7.000000e-08	-5.514922e-06	-1.383748e-09	-3.830896e+01	-9.334055e+01
8.000000e-08	-5.511614e-06	-1.412813e-09	-3.828599e+01	-9.329994e+01
9.000000e-08	-5.507828e-06	-1.484185e-09	-3.825969e+01	-9.325570e+01
1.000000e-07	-5.503675e-06	-1.490609e-09	-3.823084e+01	-9.320782e+01
1.100000e-07	-5.499220e-06	-1.417703e-09	-3.819989e+01	-9.315632e+01
1.200000e-07	-5.494552e-06	-1.316693e-09	-3.816746e+01	-9.310122e+01
1.300000e-07	-5.489678e-06	-1.404006e-09	-3.813361e+01	-9.304253e+01
1.400000e-07	-5.484327e-06	-1.435868e-09	-3.809644e+01	-9.298027e+01
1.500000e-07	-5.478508e-06	-1.387072e-09	-3.805602e+01	-9.291445e+01
1.600000e-07	-5.472326e-06	-1.310252e-09	-3.801308e+01	-9.284509e+01
1.700000e-07	-5.465695e-06	-1.409386e-09	-3.796702e+01	-9.277222e+01
1.800000e-07	-5.458658e-06	-1.513676e-09	-3.791813e+01	-9.269584e+01
1.900000e-07	-5.451316e-06	-1.448679e-09	-3.786713e+01	-9.261600e+01
2.000000e-07	-5.443774e-06	-1.370322e-09	-3.781474e+01	-9.253270e+01
2.100000e-07	-5.436012e-06	-1.383437e-09	-3.776082e+01	-9.244598e+01
2.200000e-07	-5.428023e-06	-1.471701e-09	-3.770533e+01	-9.235587e+01
2.300000e-07	-5.419679e-06	-1.438780e-09	-3.764737e+01	-9.226238e+01
2.400000e-07	-5.410651e-06	-1.421790e-09	-3.758465e+01	-9.216556e+01
2.500000e-07	-5.400916e-06	-1.428540e-09	-3.751703e+01	-9.206543e+01
2.600000e-07	-5.390488e-06	-1.478392e-09	-3.744459e+01	-9.196201e+01
2.700000e-07	-5.379452e-06	-1.426234e-09	-3.736794e+01	-9.185535e+01
2.800000e-07	-5.368053e-06	-1.400971e-09	-3.728875e+01	-9.174546e+01
2.900000e-07	-5.356342e-06	-1.408924e-09	-3.720740e+01	-9.163238e+01
3.000000e-07	-5.344285e-06	-1.454660e-09	-3.712365e+01	-9.151613e+01
3.100000e-07	-5.331750e-06	-1.408423e-09	-3.703658e+01	-9.139674e+01
3.200000e-07	-5.318765e-06	-1.390303e-09	-3.694637e+01	-9.127422e+01
3.300000e-07	-5.305436e-06	-1.402506e-09	-3.685378e+01	-9.114860e+01
3.400000e-07	-5.291778e-06	-1.424546e-09	-3.675891e+01	-9.101989e+01
3.500000e-07	-5.277680e-06	-1.380094e-09	-3.666098e+01	-9.088811e+01
3.600000e-07	-5.263062e-06	-1.366219e-09	-3.655944e+01	-9.075326e+01
3.700000e-07	-5.247968e-06	-1.390088e-09	-3.645459e+01	-9.061534e+01
3.800000e-07	-5.232332e-06	-1.406978e-09	-3.634598e+01	-9.047436e+01
3.900000e-07	-5.216179e-06	-1.376604e-09	-3.623377e+01	-9.033030e+01
4.000000e-07	-5.199680e-06	-1.369033e-09	-3.611916e+01	-9.018316e+01
4.100000e-07	-5.182834e-06	-1.391330e-09	-3.600214e+01	-9.003292e+01
4.200000e-07	-5.165621e-06	-1.364181e-09	-3.588257e+01	-8.987955e+01
4.300000e-07	-5.148150e-06	-1.342480e-09	-3.576121e+01	-8.972303e+01
4.400000e-07	-5.130367e-06	-1.370087e-09	-3.563768e+01	-8.956333e+01
4.500000e-07	-5.112197e-06	-1.396545e-09	-3.551147e+01	-8.940041e+01
4.600000e-07	-5.093535e-06	-1.336749e-09	-3.538184e+01	-8.923423e+01
4.700000e-07	-5.074464e-06	-1.329519e-09	-3.524936e+01	-8.906473e+01
4.800000e-07	-5.055217e-06	-1.361026e-09	-3.511566e+01	-8.889188e+01
4.900000e-07	-5.035776e-06	-1.361359e-09	-3.498062e+01	-8.871561e+01
5.000000e-07	-5.016069e-06	-1.321458e-09	-3.484372e+01	-8.853587e+01
5.100000e-07	-4.996080e-06	-1.348537e-09	-3.470487e+01	-8.835261e+01
5.200000e-07	-4.975804e-06	-1.338173e-09	-3.456402e+01	-8.816576e+01
5.300000e-07	-4.955137e-06	-1.312047e-09	-3.442046e+01	-8.797526e+01
5.400000e-07	-4.934052e-06	-1.325948e-09	-3.427400e+01	-8.778107e+01
5.500000e-07	-4.912634e-06	-1.353273e-09	-3.412522e+01	-8.758311e+01
5.600000e-07	-4.890905e-06	-1.295233e-09	-3.397428e+01	-8.738134e+01
5.700000e-07	-4.868817e-06	-1.289206e-09	-3.382085e+01	-8.717571e+01
5.800000e-07	-4.846353e-06	-1.327357e-09	-3.366480e+01	-8.696616e+01
5.900000e-07	-4.823502e-06	-1.315426e-09	-3.350607e+01	-8.675266e+01
6.000000e-07	-4.800297e-06	-1.278850e-09	-3.334488e+01	-8.653518e+01
6.100000e-07	-4.776889e-06	-1.312044e-09	-3.318228e+01	-8.631369e+01
6.200000e-07	-4.753315e-06	-1.306366e-09	-3.301852e+01	-8.608816e+01
6.300000e-07	-4.729522e-06	-1.266175e-09	-3.285324e+01	-8.585859e+01
6.400000e-07	-4.705427e-06	-1.274942e-09	-3.268587e+01	-8.562498e+01
6.500000e-07	-4.680977e-06	-1.293623e-09	-3.251603e+01	-8.538734e+01
6.600000e-07	-4.656031e-06	-1.265402e-09	-3.234275e+01	-8.514568e+01
6.700000e-07	-4.630512e-06	-1.264357e-09	-3.216548e+01	-8.490004e+01
6.800000e-07	-4.604518e-06	-1.282680e-09	-3.198491e+01	-8.465045e+01
6.900000e-07	-4.577951e-06	-1.262031e-09	-3.180037e+01	-8.439698e+01
7.000000e-07	-4.550804e-06	-1.249202e-09	-3.161180e+01	-8.413969e+01
7.100000e-07	-4.523391e-06	-1.259126e-09	-3.142137e+01	-8.387864e+01
7.200000e-07	-4.495866e-06	-1.247078e-09	-3.123017e+01	-8.361393e+01
7.300000e-07	-4.468168e-06	-1.227165e-09	-3.103777e+01	-8.334566e+01
7.400000e-07	-4.440299e-06	-1.244991e-09	-3.084418e+01	-8.307392e+01
7.500000e-07	-4.412229e-06	-1.243971e-09	-3.064920e+01	-8.279883e+01
7.600000e-07	-4.383836e-06	-1.228187e-09	-3.045197e+01	-8.252052e+01
7.700000e-07	-4.355034e-06	-1.224930e-09	-3.025189e+01	-8.223911e+01
7.800000e-07	-4.325855e-06	-1.229118e-09	-3.004921e+01	-8.195474e+01
7.900000e-07	-4.296346e-06	-1.212362e-09	-2.984422e+01	-8.166754e+01
8.000000e-07	-4.266600e-06	-1.216110e-09	-2.963760e+01	-8.137766e+01
8.100000e-07	-4.236622e-06	-1.217002e-09	-2.942935e+01	-8.108523e+01
8.200000e-07	-4.206286e-06	-1.208095e-09	-2.921863e+01	-8.079040e+01
8.300000e-07	-4.175576e-06	-1.199726e-09	-2.900530e+01	-8.049330e+01
8.400000e-07	-4.144597e-06	-1.207644e-09	-2.879011e+01	-8.019407e+01
8.500000e-07	-4.113392e-06	-1.194720e-09	-2.857335e+01	-7.989285e+01
8.600000e-07	-4.082020e-06	-1.184208e-09	-2.835543e+01	-7.958974e+01
8.700000e-07	-4.050556e-06	-1.182669e-09	-2.813686e+01	-7.928486e+01
8.800000e-07	-4.018921e-06	-1.180652e-09	-2.791712e+01	-7.897831e+01
8.900000e-07	-3.987085e-06	-1.169217e-09	-2.769596e+01	-7.867018e+01
9.000000e-07	-3.955052e-06	-1.171444e-09	-2.747345e+01	-7.836054e+01
9.100000e-07	-3.922730e-06	-1.167054e-09	-2.724893e+01	-7.804944e+01
9.200000e-07	-3.889922e-06	-1.156770e-09	-2.702103e+01	-7.773693e+01
9.300000e-07	-3.856613e-06	-1.153770e-09	-2.678965e+01	-7.742303e+01
9.400000e-07	-3.822837e-06	-1.156089e-09	-2.655503e+01	-7.710773e+01
9.500000e-07	-3.788565e-06	-1.145547e-09	-2.631696e+01	-7.679102e+01
9.600000e-07	-3.753875e-06	-1.137640e-09	-2.607599e+01	-7.647285e+01
9.700000e-07	-3.718800e-06	-1.137588e-09	-2.583234e+01	-7.615315e+01
9.800000e-07	-3.683430e-06	-1.130515e-09	-2.558665e+01	-7.583184e+01
9.900000e-07	-3.647905e-06	-1.124205e-09	-2.533988e+01	-7.550881e+01
1.000000e-06	-3.612269e-06	-1.124203e-09	-2.509234e+01	-7.518391e+01
1.010000e-06	-3.576529e-06	-1.121457e-09	-2.484407e+01	-7.485700e+01
1.020000e-06	-3.540620e-06	-1.111316e-09	-2.459463e+01	-7.452789e+01
1.030000e-06	-3.504534e-06	-1.107151e-09	-2.434397e+01	-7.419638e+01
1.040000e-06	-3.468246e-06	-1.099677e-09	-2.409189e+01	-7.386225e+01
1.050000e-06	-3.431646e-06	-1.086844e-09	-2.383765e+01	-7.352525e+01
1.060000e-06	-3.394699e-06	-1.074317e-09	-2.358101e+01	-7.318511e+01
1.070000e-06	-3.357532e-06	-1.072735e-09	-2.332282e+01	-7.284157e+01
1.080000e-06	-3.320220e-06	-1.067110e-09	-2.306364e+01	-7.249433e+01
1.090000e-06	-3.282678e-06	-1.063537e-09	-2.280286e+01	-7.214307e+01
1.100000e-06	-3.244818e-06	-1.057246e-09	-2.253987e+01	-7.178749e+01
1.110000e-06	-3.206735e-06	-1.048686e-09	-2.227533e+01	-7.142723e+01
1.120000e-06	-3.168523e-06	-1.035788e-09	-2.200989e+01	-7.106198e+01
1.130000e-06	-3.130102e-06	-1.030478e-09	-2.174300e+01	-7.069138e+01
1.140000e-06	-3.091401e-06	-1.024182e-09	-2.147417e+01	-7.031509e+01
1.150000e-06	-3.052370e-06	-1.017476e-09	-2.120304e+01	-6.993276e+01
1.160000e-06	-3.013153e-06	-1.008749e-09	-2.093063e+01	-6.954405e+01
1.170000e-06	-2.973845e-06	-1.003081e-09	-2.065758e+01	-6.914861e+01
1.180000e-06	-2.934413e-06	-9.953534e-10	-2.038367e+01	-6.874610e+01
1.190000e-06	-2.894834e-06	-9.899243e-10	-2.010873e+01	-6.833620e+01
1.200000e-06	-2.855107e-06	-9.845890e-10	-1.983277e+01	-6.791860e+01
1.210000e-06	-2.815265e-06	-9.793754e-10	-1.955601e+01	-6.749297e+01
1.220000e-06	-2.775324e-06	-9.720685e-10	-1.927856e+01	-6.705903e+01
1.230000e-06	-2.735229e-06	-9.648134e-10	-1.900005e+01	-6.661650e+01
1.240000e-06	-2.694787e-06	-9.542786e-10	-1.871912e+01	-6.616512e+01
1.250000e-06	-2.654105e-06	-9.414822e-10	-1.843652e+01	-6.570464e+01
1.260000e-06	-2.613293e-06	-9.332619e-10	-1.815303e+01	-6.523484e+01
1.270000e-06	-2.572231e-06	-9.294729e-10	-1.786780e+01	-6.475550e+01
1.280000e-06	-2.530791e-06	-9.260347e-10	-1.757994e+01	-6.426644e+01
1.290000e-06	-2.489028e-06	-9.188842e-10	-1.728984e+01	-6.376750e+01
1.300000e-06	-2.447052e-06	-9.096148e-10	-1.699825e+01	-6.325851e+01
1.310000e-06	-2.404756e-06	-8.985244e-10	-1.670444e+01	-6.273935e+01
1.320000e-06	-2.362076e-06	-8.874646e-10	-1.640797e+01	-6.220989e+01
1.330000e-06	-2.319081e-06	-8.803760e-10	-1.610931e+01	-6.167005e+01
1.340000e-06	-2.275971e-06	-8.764677e-10	-1.580985e+01	-6.111975e+01
1.350000e-06	-2.232736e-06	-8.688922e-10	-1.550952e+01	-6.055890e+01
1.360000e-06	-2.189366e-06	-8.609547e-10	-1.520825e+01	-5.998745e+01
1.370000e-06	-2.145939e-06	-8.527009e-10	-1.490659e+01	-5.940536e+01
1.380000e-06	-2.102370e-06	-8.455257e-10	-1.460395e+01	-5.881258e+01
1.390000e-06	-2.058673e-06	-8.354614e-10	-1.430041e+01	-5.820909e+01
1.400000e-06	-2.014928e-06	-8.252113e-10	-1.399654e+01	-5.759485e+01
1.410000e-06	-1.971148e-06	-8.129354e-10	-1.369242e+01	-5.696983e+01
1.420000e-06	-1.927276e-06	-8.029449e-10	-1.338767e+01	-5.633400e+01
1.430000e-06	-1.883251e-06	-7.948469e-10	-1.308185e+01	-5.568732e+01
1.440000e-06	-1.839111e-06	-7.880817e-10	-1.277524e+01	-5.502975e+01
1.450000e-06	-1.794829e-06	-7.782185e-10	-1.246763e+01	-5.436123e+01
1.460000e-06	-1.750393e-06	-7.669493e-10	-1.215897e+01	-5.368170e+01
1.470000e-06	-1.705871e-06	-7.535141e-10	-1.184970e+01	-5.299108e+01
1.480000e-06	-1.661219e-06	-7.388515e-10	-1.153953e+01	-5.228926e+01
1.490000e-06	-1.616398e-06	-7.241142e-10	-1.122818e+01	-5.157613e+01
1.500000e-06	-1.571407e-06	-7.105925e-10	-1.091565e+01	-5.085155e+01
1.510000e-06	-1.526226e-06	-6.999302e-10	-1.060181e+01	-5.011535e+01
1.520000e-06	-1.480931e-06	-6.922633e-10	-1.028717e+01	-4.936736e+01
1.530000e-06	-1.435627e-06	-6.832492e-10	-9.972465e+00	-4.860736e+01
1.540000e-06	-1.390245e-06	-6.730055e-10	-9.657226e+00	-4.783511e+01
1.550000e-06	-1.344723e-06	-6.580024e-10	-9.341014e+00	-4.705036e+01
1.560000e-06	-1.299135e-06	-6.394806e-10	-9.024338e+00	-4.625280e+01
1.570000e-06	-1.253483e-06	-6.202358e-10	-8.707217e+00	-4.544213e+01
1.580000e-06	-1.207772e-06	-6.059093e-10	-8.389694e+00	-4.461801e+01
1.590000e-06	-1.162009e-06	-5.956786e-10	-8.071806e+00	-4.378007e+01
1.600000e-06	-1.116163e-06	-5.887594e-10	-7.753334e+00	-4.292792e+01
1.610000e-06	-1.070193e-06	-5.835529e-10	-7.434010e+00	-4.206117e+01
1.620000e-06	-1.024113e-06	-5.752101e-10	-7.113917e+00	-4.117939e+01
1.630000e-06	-9.779896e-07	-5.616988e-10	-6.793527e+00	-4.028213e+01
1.640000e-06	-9.317348e-07	-5.385777e-10	-6.472221e+00	-3.936896e+01
1.650000e-06	-8.854263e-07	-5.136437e-10	-6.150543e+00	-3.843941e+01
1.660000e-06	-8.391236e-07	-4.912642e-10	-5.828905e+00	-3.749303e+01
1.670000e-06	-7.927276e-07	-4.779158e-10	-5.506619e+00	-3.652935e+01
1.680000e-06	-7.462586e-07	-4.711794e-10	-5.183826e+00	-3.554792e+01
1.690000e-06	-6.997885e-07	-4.665657e-10	-4.861025e+00	-3.454828e+01
1.700000e-06	-6.533581e-07	-4.553706e-10	-4.538499e+00	-3.353002e+01
1.710000e-06	-6.068408e-07	-4.369701e-10	-4.215371e+00	-3.249271e+01
1.720000e-06	-5.602070e-07	-4.140281e-10	-3.891433e+00	-3.143598e+01
1.730000e-06	-5.135670e-07	-3.887644e-10	-3.567452e+00	-3.035945e+01
1.740000e-06	-4.668567e-07	-3.639978e-10	-3.242982e+00	-2.926282e+01
1.750000e-06	-4.200677e-07	-3.447161e-10	-2.917967e+00	-2.814579e+01
1.760000e-06	-3.732332e-07	-3.305334e-10	-2.592634e+00	-2.700814e+01
1.770000e-06	-3.263738e-07	-3.215100e-10	-2.267130e+00	-2.584967e+01
1.780000e-06	-2.795004e-07	-3.133324e-10	-1.941527e+00	-2.467026e+01
1.790000e-06	-2.326032e-07	-2.973511e-10	-1.615759e+00	-2.346984e+01
1.800000e-06	-1.857427e-07	-2.718218e-10	-1.290247e+00	-2.224840e+01
1.810000e-06	-1.388751e-07	-2.426594e-10	-9.646850e-01	-2.100601e+01
1.820000e-06	-9.194608e-08	-2.163067e-10	-6.386961e-01	-1.974280e+01
1.830000e-06	-4.500413e-08	-1.954716e-10	-3.126176e-01	-1.845898e+01
1.840000e-06	1.915582e-09	-1.809547e-10	1.330644e-02	-1.715484e+01
1.850000e-06	4.884947e-08	-1.694404e-10	3.393289e-01	-1.583074e+01
1.860000e-06	9.574642e-08	-1.573579e-10	6.650949e-01	-1.448715e+01
1.870000e-06	1.426432e-07	-1.423500e-10	9.908593e-01	-1.312458e+01
1.880000e-06	1.895167e-07	-1.218791e-10	1.316463e+00	-1.174365e+01
1.890000e-06	2.363282e-07	-9.526674e-11	1.641635e+00	-1.034507e+01
1.900000e-06	2.831904e-07	-6.874671e-11	1.967159e+00	-8.929606e+00
1.910000e-06	3.300339e-07	-4.575366e-11	2.292554e+00	-7.498129e+00
1.920000e-06	3.768201e-07	-2.776382e-11	2.617551e+00	-6.051576e+00
1.930000e-06	4.235594e-07	-1.386010e-11	2.942222e+00	-4.590966e+00
1.940000e-06	4.702589e-07	-3.817834e-12	3.266616e+00	-3.117388e+00
1.950000e-06	5.169703e-07	8.729820e-12	3.591093e+00	-1.632004e+00
1.960000e-06	5.635715e-07	2.785506e-11	3.914804e+00	-1.360393e-01
1.970000e-06	6.100802e-07	5.310658e-11	4.237873e+00	1.369220e+00
1.980000e-06	6.566626e-07	7.989775e-11	4.561454e+00	2.882431e+00
1.990000e-06	7.032787e-07	1.055547e-10	4.885269e+00	4.402204e+00
2.000000e-06	7.498256e-07	1.281488e-10	5.208604e+00	5.927104e+00
